TUSC2_Expressed,TUSC2_Not_Expressed
0.2913207547169812,0.17002695417789757
0.27083557951482484,0.3158310871518419
0.20488769092542677,0.25419586702605573
0.24557053009883195,0.38131176999101535
0.26763701707097937,0.28032345013477095
0.26231805929919144,0.10864330637915544
0.3381850853548967,0.2897035040431267
0.29620844564240795,0.1852650494159928
0.3005570530098832,0.34778077268643315
0.1350584007187781,0.21775381850853548
0.3207547169811321,0.22120395327942496
0.33221922731356696,0.3945013477088949
0.19550763701707097,0.17153638814016176
0.1905840071877808,0.3277987421383648
0.18566037735849056,0.35575920934411503
0.2652650494159928,0.16894878706199462
0.2183288409703504,0.38210242587601073
0.2661275831087152,0.23532794249775382
0.2826954177897575,0.14397124887690924
0.2671338724168913,0.2782389937106919
0.278418688230009,0.14684636118598382
0.26914645103324353,0.4803593890386344
0.29606469002695424,0.23327942497753817
0.2942677448337826,0.1482839173405211
0.455130278526505,0.5165498652291105
0.2790296495956874,0.43593890386343215
0.31040431266846363,0.2646540880503145
0.29656783468104225,0.3138544474393531
0.22044923629829288,0.09369272237196766
0.22871518418688233,0.19579514824797842
0.36524707996406114,0.17624438454627134
0.33646001796945196,0.21703504043126684
0.17300988319856242,0.3441509433962264
0.172973944294699,0.2615992812219228
0.3632345013477089,0.3178436657681941
0.262785265049416,0.195759209344115
0.27169811320754716,0.19823899371069184
0.5771428571428572,0.19478885893980236
0.22670260557053007,0.13078167115902964
0.20686433063791554,0.17045822102425875
0.12625336927223718,0.26113207547169814
0.3042228212039533,0.32610961365678354
0.3345193171608266,0.2610961365678347
0.23482479784366578,0.2424797843665768
0.22609164420485175,0.09980233602875113
0.31554357592093446,0.31065588499550767
0.12549865229110513,0.31568733153638817
0.17965858041329738,0.35079964061096136
0.21973045822102424,0.189937106918239
0.29883198562443847,0.30724168912848165
0.20837376460017967,0.39744833782569633
0.21814914645103325,0.15769991015274032
0.5073135669362085,0.2742138364779874
0.46016172506738545,0.26587601078167117
0.37771787960467207,0.2202336028751123
0.23640610961365677,0.3864510332434861
0.12690026954177897,0.30339622641509434
0.37045822102425874,0.25369272237196766
0.24355795148247975,0.2135130278526505
0.19683737646001795,0.3200718778077269
0.11040431266846361,0.21448337825696318
0.20309074573225516,0.22885893980233601
0.16071877807726861,0.1367475292003594
0.15371069182389938,0.27421383647798747
0.19281221922731354,0.1725786163522013
0.3057681940700809,0.16564240790655885
0.21369272237196768,0.1776819407008086
0.1895058400718778,0.20082659478885892
0.17850853548966752,0.1945372866127583
0.10839173405211142,0.28682839173405217
0.18120395327942498,0.11389038634321655
0.2260557053009883,0.22900269541778978
0.08362982929020665,0.20851752021563347
0.21128481581311773,0.3204672057502247
0.22688230008984722,0.31680143755615453
0.44319856244384553,0.19744833782569632
0.2263791554357592,0.18835579514824796
0.06799640610961366,0.1586343216531896
0.1781132075471698,0.20607367475292004
0.23619047619047617,0.21124887690925426
0.01595687331536387,0.25538185085354903
0.2189038634321653,0.44125786163522024
0.22785265049415995,0.19719676549865228
0.1498292902066487,0.29696316262354
0.2770170709793352,0.24664869721473495
0.1478167115902965,0.3617610062893082
0.18655884995507638,0.26062893081761007
0.289308176100629,0.23795148247978434
0.138544474393531,0.2534052111410602
0.34170709793351306,0.20467205750224618
0.269685534591195,0.31647798742138367
0.26752920035938904,0.2462893081761006
0.20474393530997304,0.31018867924528304
0.18285714285714286,0.20743935309973044
0.1178796046720575,0.2606289308176101
0.1368553459119497,0.3460916442048518
0.17462713387241688,0.28481581311769993
0.12427672955974843,0.1393351302785265
0.2298652291105121,0.4469721473495059
0.08988319856244385,0.30127583108715184
0.1424618149146451,0.37336927223719685
0.252973944294699,0.25581311769991016
0.26210242587601085,0.16043126684636116
0.07561545372866128,0.3525247079964062
0.18080862533692718,0.31867026055705305
0.057035040431266844,0.2635399820305481
0.1304941599281222,0.3211859838274933
0.2545911949685535,0.3521293800539084
0.11026055705300988,0.20977538185085354
0.23460916442048518,0.17020664869721472
0.32571428571428573,0.36391734052111413
0.04776280323450135,0.3557951482479785
0.12902066486972144,0.16172506738544473
0.26799640610961367,0.3643486073674753
0.13480682839173402,0.25897574123989225
0.24431266846361188,0.1862713387241689
0.3129919137466307,0.14842767295597484
0.12887690925426773,0.18188679245283018
0.11859838274932614,0.32747529200359393
0.10141958670260559,0.32125786163522013
0.19881401617250674,0.19191374663072774
0.22106019766397123,0.2902785265049417
0.16891284815813118,0.48140161725067393
0.28506738544474397,0.3325426774483378
0.2715902964959569,0.2684636118598383
0.1861635220125786,0.35281221922731365
0.32247978436657687,0.359245283018868
0.19446540880503144,0.26950584007187783
0.205822102425876,0.3019227313566936
0.15583108715184185,0.30465408805031446
0.2301527403414196,0.3648517520215634
0.3212578616352202,0.2642228212039533
0.07241689128481583,0.1620125786163522
0.2739622641509434,0.22228212039532794
0.14925426774483377,0.31299191374663077
0.20578616352201257,0.33947888589398023
0.2753638814016173,0.13221922731356694
0.316082659478886,0.17800539083557954
0.21110512129380052,0.28050314465408804
0.11381850853548968,0.3145372866127583
0.21415992812219228,0.31532794249775387
0.31884995507637026,0.31719676549865233
0.10364779874213835,0.3297035040431267
0.19076370170709792,0.3784725965858042
0.20902066486972146,0.23133872416891285
0.19407008086253366,0.22476190476190477
0.1371069182389937,0.24891284815813117
0.23784366576819405,0.4038095238095238
0.20107816711590296,0.2631446540880504
0.22274932614555254,0.2203414195867026
0.285822102425876,0.2501347708894879
0.2752920035938904,0.2915723270440252
0.1736567834681042,0.3271159029649596
0.09354896675651392,0.3866666666666667
0.16959568733153638,0.3768194070080863
0.295884995507637,0.20204851752021563
0.18346810422282117,0.2490206648697214
0.20129380053908355,0.21980233602875116
0.30070080862533693,0.24747529200359383
0.2072955974842767,0.13739442946990116
0.23960467205750222,0.18149146451033246
0.16309074573225513,0.4335309973045822
0.2073674752920036,0.269937106918239
0.26551662174303686,0.1833243486073675
0.13861635220125787,0.25962264150943404
0.2545552560646901,0.30831985624438457
0.3694519317160827,0.4085534591194969
0.22253369272237195,0.20539083557951482
0.21024258760107814,0.16197663971248874
0.30760107816711596,0.2371248876909254
0.08086253369272237,0.42357592093441154
0.1560826594788859,0.15838274932614557
0.21926325247079967,0.37311769991015276
0.40672057502246184,0.3772506738544475
0.38522911051212944,0.24265947888589395
0.13836477987421383,0.13667565139263252
0.14228212039532792,0.3136028751123091
0.33692722371967654,0.23241689128481582
0.2121832884097035,0.19173405211141062
0.39964061096136577,0.32718778077268645
0.21836477987421382,0.2171069182389937
0.21699910152740343,0.28010781671159035
0.1887151841868823,0.17937106918238993
0.21232704402515726,0.2681761006289308
0.14454627133872414,0.2650853548966757
0.2062893081761006,0.22382749326145557
0.3149685534591195,0.34569631626235403
0.2620664869721474,0.2012219227313567
0.3486073674752921,0.3813477088948788
0.29372866127583114,0.2019766397124888
0.2468643306379155,0.12463611859838275
0.21796945193171607,0.20294699011680142
0.20017969451931714,0.21725067385444743
0.04751123090745731,0.2761185983827493
0.2254088050314465,0.2905660377358491
0.289308176100629,0.2511051212938005
0.2263432165318958,0.2972506738544475
0.19928122192273137,0.3239173405211141
0.20808625336927222,0.3499011680143756
0.33520215633423184,0.212973944294699
0.20345013477088947,0.3007367475292004
0.22763701707097933,0.2709074573225517
0.2970350404312669,0.3132794249775382
0.31428571428571433,0.2639353099730459
0.1582389937106918,0.23953279424977536
0.162911051212938,0.32894878706199465
0.10407906558849955,0.25009883198562444
0.19870619946091644,0.288230008984726
0.207403414195867,0.2497753818508536
0.27381850853548967,0.24517520215633426
0.19044025157232702,0.21290206648697216
0.19511230907457322,0.22026954177897573
0.14540880503144651,0.28848158131177
0.2497035040431267,0.2897035040431267
0.08089847259658581,0.29193171608265955
0.3019227313566936,0.27144654088050313
0.26501347708894885,0.3151841868823001
