TUSC2_Not_Expressed,TUSC2_Expressed
0.06212534059945504,0.2530854303574291
0.07158198429235453,0.1582304856547523
0.0731527488379548,0.2022439493508575
0.0946626061868889,0.2721910562590159
0.14543997435486453,0.19782016348773837
0.08248116685366244,0.10068921301490623
0.037698349094406156,0.08879628145536143
0.08091040230806218,0.14822888283378743
0.18361916973874015,0.1503446065074531
0.18470908799487093,0.09168135919217822
0.09334829299567239,0.11152428273761819
0.35095367847411435,0.12732809745151463
0.1411444141689373,0.18781856066677352
0.17307260778970984,0.17310466420900783
0.35665972110915206,0.10642731206924184
0.22070844686648497,0.14082384997595768
0.09767590960089756,0.13726558743388362
0.2004808462894694,0.30806218945343805
0.10322167013944542,0.3438050969706684
0.22513223272960411,0.19275524923866003
0.17967623016509054,0.16813591921782334
0.1950953678474114,0.24417374579259493
0.2372495592242347,0.16749479083186405
0.19807661484212213,0.3255970508094246
0.28568680878345887,0.25337393813111075
0.11524282737618204,0.23734572848212854
0.2565475236416092,0.2987658278570284
0.14479884596890524,0.2921942619009456
0.13848373136720626,0.4991825613079019
0.14066356787946782,0.2263503766629267
0.2323449270716461,0.14729924667414646
0.11501843244109632,0.2274402949190575
0.2833146337554095,0.1617566917775284
0.16419297964417373,0.21487417855425545
0.17999679435807017,0.28110274082384995
0.17233531014585665,0.19496714217021957
0.13335470427953194,0.3030934444622535
0.1527808943740984,0.27321686167655074
0.11081904151306297,0.28517390607469145
0.21958647219105623,0.24260298124699473
0.15723673665651544,0.24850136239782017
0.2770956884116044,0.3647058823529412
0.12460330181118767,0.153133514986376
0.1960250040070524,0.20961692578938929
0.11771117166212532,0.29312389806058664
0.07366565154672222,0.2913287385799006
0.2168296201314313,0.16678954960730885
0.14810065715659557,0.30527328097451517
0.14451033819522355,0.23846770315755733
0.11043436448148741,0.25741304696265427
0.13534220227600577,0.25962493989421376
0.13777849014265103,0.24587273601538703
0.11787145375861514,0.3163648020516108
0.10466420900785381,0.15197948389164928
0.10190735694822886,0.12697547683923704
0.15803814713896452,0.36460971309504725
0.15720468023721745,0.2751081904151306
0.2705241224555217,0.22622215098573487
0.07379387722391409,0.12578938932521236
0.15239621734252282,0.20160282096489818
0.13906074691456963,0.18506170860714855
0.12069241865683603,0.28607148581503444
0.11495431960250037,0.25093765026446546
0.1610514505529732,0.28273761820804616
0.04330822247154993,0.31543516589196985
0.19794838916493024,0.14082384997595765
0.22702356146818398,0.1469145696425709
0.19012662285622692,0.15127424266709408
0.10799807661484212,0.20843083827536463
0.1153710530533739,0.24305177111716625
0.120692418656836,0.27780092963615965
0.1313992627023561,0.20586632473152747
0.17999679435807017,0.2977400224394935
0.16993107869850935,0.3161083506972271
0.1478121493829139,0.18006090719666612
0.2298445263664049,0.19894213816316716
0.09482288828337875,0.2447187049206604
0.153133514986376,0.22279211412085267
0.1960891168456483,0.3012662285622696
0.19506331142811348,0.30142651065875936
0.2760698829940696,0.35079339637762463
0.20205161083506967,0.2190735694822888
0.12158999839717902,0.2628946946626062
0.16964257092482768,0.291040230806219
0.2650745311748678,0.16085911203718542
0.11966661323930117,0.23455682000320566
0.16858470908799483,0.20676390447187049
0.07850617086071485,0.2418336271838436
0.20176310306138803,0.10418336271838434
0.186472191056259,0.35970508094245873
0.1306940214778009,0.3911844846930598
0.2171822407437089,0.27321686167655074
0.10623497355345408,0.14399743548645613
0.1808943740984132,0.2849495111396057
0.17855425548966178,0.2908478922904311
0.1857348934124058,0.24433402788908481
0.27770476037826575,0.2867767270395897
0.09607308863599937,0.29697066837634234
0.13893252123737773,0.19599294758775443
0.2539830100977721,0.292771277448309
0.22128546241384833,0.32851418496553936
0.14146497836191693,0.36768712934765185
0.18317037986856866,0.23971790351017794
0.34335630710049686,0.15851899342843404
0.13431639685847088,0.281070684404552
0.21715018432441094,0.11190895976919377
0.09741945824651385,0.2212534059945504
0.21016188491745472,0.14508735374258694
0.26292675108190416,0.1277448309023882
0.2485013623978201,0.2850136239782016
0.12319281936207724,0.25087353742586954
0.07363359512742426,0.16743067799326813
0.16999519153710527,0.10392691136400063
0.18913287385799002,0.19955121012982846
0.14031094726719026,0.2932200673184805
0.18361916973874015,0.3457605385478442
0.0988299406956243,0.21846449751562746
0.09921461772719987,0.2502644654592082
0.23346690174707482,0.3019394133675269
0.1301170059304375,0.17188652027568518
0.14576053854784418,0.3962814553614361
0.13534220227600574,0.2418015707645456
0.17714377304055134,0.23567879467863434
0.21785542554896617,0.16803974995992946
0.14739541593204036,0.14181759897419455
0.24465459208206444,0.2491104343644815
0.09988780253245713,0.24635358230485657
0.28030133034140087,0.19788427632633432
0.1372014745952877,0.2802692739221029
0.16781535502484368,0.24516749479083189
0.1863760217983651,0.20573809905433563
0.16653309825292512,0.13415611476198108
0.15932040391088312,0.28594326013784255
0.14377304055137038,0.12431479403750599
0.20455201154031089,0.11078698509376501
0.1745472030774162,0.29213014906234974
0.36662926751081903,0.18387562109312386
0.3076775124218625,0.19022279211412085
0.1451835230004808,0.2251963455682
0.08491745472030772,0.18233691296682158
0.1777849014265106,0.2853341881711812
0.14550408719346047,0.28353902869049524
0.4704279531976278,0.1762782497195063
0.17070043276166047,0.1970187530052893
0.1046000961692579,0.21612437890687608
0.2552011540310947,0.3118769033498958
0.2814874178554255,0.2894374098413207
0.0656515467222311,0.1380990543356307
0.25074531174867765,0.11476198108671258
0.10985734893412405,0.14880589838115083
0.18416412886680555,0.17406635678794677
0.23676871293476517,0.26715819842923544
0.2771277448309024,0.12229523962173423
0.13056579580060906,0.13450873537425867
0.19070363840359028,0.29222631832024365
0.2714858150344607,0.16685366244590477
0.22378586311908957,0.2310306138804296
0.11213335470427951,0.2898861997114922
0.13761820804616123,0.16323128706523476
0.11774322808142328,0.22288828337874655
0.14435005609873375,0.2809104023080622
0.26142009937489985,0.19669818881230963
0.14560025645135438,0.23045359833306622
0.26770315755730084,0.34935085750921624
0.10921622054816477,0.377560506491425
0.12639846129187365,0.1958326654912646
0.15605064914249075,0.1832986055457605
0.22080461612437888,0.21923385157877864
0.1979804455842282,0.2385959288347492
0.22035582625420738,0.1772078858791473
0.08472511620451995,0.2510017631030614
0.12402628626382431,0.22134957525244425
0.1525885558583106,0.24385318159961533
0.16470588235294115,0.18275364641769512
0.3064914249078378,0.30498477320083345
0.09822086872896296,0.2329860554576054
0.1611476198108671,0.24016669338034946
0.20686007372976437,0.21766308703317835
0.08642410642731206,0.271197307260779
0.19926270235614676,0.3759576855265267
0.19172944382112517,0.3313351498637602
0.2827376182080462,0.2591440936047444
0.10251642891489018,0.2692418656836032
0.21035422343324248,0.24680237217502807
0.14233050168296196,0.25770155473633594
0.1386119570443981,0.23753806699791633
0.108094245872736,0.17188652027568518
0.11293476518672863,0.2890527328097451
0.16435326174066356,0.215322968424427
0.1417855425548966,0.3366565154672223
0.2679916653309825,0.26885718865202757
0.16246193300208364,0.34579259496714215
0.17070043276166047,0.2496233370732489
0.06994710690815836,0.2315755730084949
0.16127584548805898,0.3330982529251483
0.09402147780092962,0.23853181599615328
0.15310145856707802,0.3024202596569963
0.1276166052251963,0.25074531174867765
0.17579740343003686,0.25760538547844203
0.2793396377624619,0.34444622535662767
0.1996794358070203,0.31703798685686807
0.19285141849655388,0.45590639525565
0.13928514184965538,0.25680397499599295
0.14617727199871774,0.21862477961211732
0.21715018432441094,0.15608270556178874
0.08966180477640646,0.22869049527167812
0.23135117807340916,0.19230645936848853
0.2912325693220067,0.4124378906876102
0.1671101138002885,0.2749479083186408
0.19012662285622692,0.3039589677832986
0.1872415451194101,0.3217182240743709
0.2129187369770796,0.27677512421862477
0.17259176150024041,0.352235935246033
0.2435326174066357,0.2403590318961372
0.13280974515146654,0.20743708927712773
0.1416252604584068,0.12973232889886196
0.09850937650264464,0.18192017951594805
0.12066036223753804,0.2526045840679596
0.17983651226158037,0.17079660201955438
0.12931559544798846,0.12793716941817596
0.27315274883795476,0.1361115563391569
0.11614040711652504,0.11815996153229681
0.13021317518833142,0.05840679596089117
0.2194261900945664,0.23359512742426666
0.11944221830421542,0.16794358070203555
0.1784580862317679,0.117999679435807
0.16018592723192818,0.22500400705241222
0.13434845327776884,0.1388042955601859
0.393716941817599,0.15803814713896455
0.11194101618849173,0.28161564353261737
0.07446706202917133,0.2736335951274243
0.20968103862798523,0.17653470107389005
0.211668536624459,0.16964257092482765
0.15508895656355182,0.18833146337554094
0.09126462574130469,0.27680718063792276
0.17419458246513858,0.1751883314633755
0.04571245391889726,0.41186087514024683
0.14011860875140245,0.19374899823689692
0.15274883795480043,0.1726879307581343
0.29870171501843246,0.1294117647058823
0.1465619490302933,0.2566116364802052
0.19775605064914245,0.13950953678474112
0.05494470267671101,0.20359031896137197
0.1588075012021157,0.34627344125661164
0.1427472351338355,0.34989581663728164
0.16185286103542232,0.20153870812630229
0.21779131271037025,0.2682801731046642
0.17993268151947422,0.25032857829780414
0.2213175188331463,0.13284180157076456
0.19362077255970506,0.2506170860714858
0.3023561468184004,0.29235454399743555
0.26590799807661486,0.27392210290110597
0.14633755409520752,0.1983651226158038
0.10995351819201794,0.20227600577015548
0.15201154031094724,0.1732970027247956
0.09815675589036703,0.14614521557941976
0.0913287385799006,0.2592082064433403
0.1934604904632152,0.19522359352460328
0.25173906074691454,0.15640326975476834
0.23449270716460968,0.1862798525404712
0.295560185927232,0.17220708446866487
0.1867927552492386,0.28562269594486295
0.1907677512421862,0.17400224394935085
0.13707324891809583,0.31639685847090876
0.10761339958326654,0.15441577175829457
0.09799647379387721,0.2242025965699631
0.24561628466100338,0.30193941336752683
0.19977560506491424,0.2596249398942138
0.18038147138964575,0.20471229363680077
0.2156114761981086,0.4319281936207726
0.12825773361115558,0.18746594005449585
0.11915371053053371,0.19628145536143612
0.1967943580702035,0.1685205962493989
0.08905273280974514,0.29414970347812147
0.20903991024202595,0.2580541753486135
0.2633114281134797,0.13752203878826733
0.15576214136880906,0.19945504087193455
0.2137842602981247,0.30014425388684085
0.27331303093444465,0.16868087834588874
0.08366725436768713,0.3257252764866164
0.3618849174547203,0.17364962333707323
0.1262061227760859,0.3869530373457285
0.14473473313030932,0.3210129828498157
0.11540310947267186,0.20621894534380508
0.13127103702516427,0.1518512582144574
0.09267510819041512,0.2685366244590479
0.3120692418656836,0.1838435646738259
0.23282577336111557,0.17598974194582462
0.18615162686327932,0.1851258214457445
0.11296682160602659,0.16393652828979002
0.15960891168456484,0.1669177752845007
0.19621734252284015,0.1992306459368488
0.27283218464497516,0.1673345087353742
0.15704439814072765,0.16707805738099052
0.1584548805898381,0.2779291553133515
0.06026606828017311,0.08004487898701713
0.2348132713575893,0.05824651386440135
0.14729924667414646,0.29969546401666936
0.2022439493508575,0.24273120692418654
0.15832665491264625,0.27616605225196345
0.1214297163006892,0.2563872415451194
0.22516428914890202,0.2716140407116525
0.2010578618368328,0.18679275524923863
0.24481487417855427,0.16425709248276965
0.23385157877865043,0.22417054015066515
0.22913928514184967,0.3897098894053534
0.1455361436127584,0.11040230806218944
0.20115403109472668,0.25776566757493186
0.15425548966180475,0.30492066036223753
0.31649302772880267,0.2733450873537426
0.12594967142170216,0.29004648180798204
0.2197146978682481,0.17547683923705718
0.1077416252604584,0.28658438852380186
0.1807020355826254,0.25677191857669496
0.14720307741625258,0.2055778169578458
0.3447988459689053,0.1188331463375541
0.45843885238018905,0.16448148741785537
0.24705882352941178,0.22503606347171018
0.3413688091040231,0.2205161083506972
0.4112838595928835,0.19810867126142007
0.3854784420580221,0.19362077255970506
0.3680076935406315,0.1633915691617246
0.18692098092643053,0.19631351178073408
0.15380669979163325,0.27292835390286907
0.19512742426670937,0.29007853822727997
0.18063792274402946,0.2091040230806219
0.41497034781214936,0.2178233691296682
0.2426350376662927,0.23391569161724632
0.33999038307421064,0.25779772399422984
0.3395736496233371,0.2126943420419939
0.30803013303414006,0.1626863279371694
0.3474915851899343,0.31296682160602657
0.2214136880910402,0.15585831062670297
0.24055137041192498,0.218913287385799
0.16585991344766787,0.2508094245872736
0.23728161564353262,0.3950953678474114
0.2758775444782818,0.4625741304696265
0.16159640968103858,0.24324410963295398
0.09911844846930597,0.24519955121012985
0.15028049366885718,0.2635037666292675
0.17951594806860072,0.21237377784901426
0.23763423625581023,0.16416092322487577
0.2710690815835871,0.2759737137361757
0.18262542074050322,0.30703638403590316
0.18281775925629107,0.15316557140567397
0.13104664209007852,0.3258214457445103
0.06170860714858151,0.3257252764866164
0.12056419297964414,0.3579419778810707
0.201763103061388,0.27158198429235453
0.354095207565315,0.3820804616124379
0.2944702676711011,0.1424907837794518
0.17547683923705718,0.34178554255489657
0.2509697066837634,0.3232889886199712
0.1841000160282096,0.3627824971950633
0.4136560346209328,0.2788267350536945
0.2700753325853502,0.22622215098573487
0.2676390447187049,0.30081743869209804
0.15534540791793552,0.2149062349735534
0.14473473313030932,0.06719025484853342
0.1875621093123898,0.2896297483571085
0.2672864241064273,0.29334829299567244
0.3115883955762141,0.3411444141689373
0.37852219907036383,0.19724314794037504
0.2498156755890367,0.21105946465779768
0.27715980125020034,0.11857669498317035
0.20605866324731523,0.13784260298124698
0.2620291713415612,0.10020836672543677
0.1097291232569322,0.17938772239140885
0.25180317358551046,0.3318159961532297
0.26372816156435325,0.17239942298445263
0.25084148100657155,0.16938611957044397
0.32453918897259176,0.10883154351658918
0.22663888443660846,0.11751883314633753
0.36079499919858954,0.165731687770476
0.18868408398781852,0.15883955762141364
0.12197467542875459,0.08299406956242987
0.29299567238339475,0.10671581984292354
0.17063631992306455,0.21820804616124378
0.14973553454079178,0.15707645456002564
0.2963295399903831,0.11780734092001921
0.17685526526686965,0.12604584067959607
0.25379067158198426,0.2253886840839878
0.17249559224234648,0.14771598012502
0.21894534380509695,0.20407116525084146
0.22542074050328575,0.2003205641929796
0.2204519955121013,0.1950312550088155
0.29094406154832503,0.09277127744830901
0.31748677672703957,0.13300208366725436
0.3259176150024042,0.3534861355986536
0.1600577015547363,0.13829139285141848
0.3221990703638403,0.12518031735855104
0.2286584388523802,0.11226158038147137
0.25093765026446546,0.15489661804776403
0.18111876903349894,0.3076454560025645
0.19512742426670937,0.24013463696105145
0.16345568200032054,0.3264305177111716
0.2665811828818721,0.3244430197146978
0.21654111235774962,0.2896618047764064
0.5073890046481808,0.31848052572527646
0.25039269113640006,0.264850136239782
0.2418656836031415,0.19874979964737938
0.21317518833146334,0.2688571886520276
0.22811347972431478,0.35040871934604906
0.09745151466581181,0.3439333226478602
0.2361275845488059,0.37669498317037986
0.16743067799326813,0.24237858631190895
0.2789870171501843,0.16390447187049206
0.2231447347331303,0.21734252284019873
0.15480044878987015,0.25773361115563387
0.21089918256130788,0.22481166853662443
0.26000961692578933,0.20855906395255647
0.13277768873216858,0.19855746113159156
0.3226478602340118,0.2920019233851579
0.1728482128546241,0.2863279371694181
0.13255329379708286,0.3427472351338356
0.3208206443340279,0.2037506010578618
0.2155794197788107,0.2191697387401827
0.3748998236896938,0.26337554095207566
0.34271517871453755,0.19477480365443178
0.23337073248918092,0.250456803974996
0.18849174547203076,0.1879147299246674
0.19163327456323126,0.19054335630710045
0.21375220387882668,0.3140246834428594
0.4453918897259176,0.29354063151146015
0.15338996634075971,0.16848853983010095
0.25138644013463696,0.30011219746754286
0.23340278890847893,0.3041513062990864
0.17980445584228238,0.19631351178073406
