Term,GO_ID,Database,Adjusted_P_Value,Gene_Count,Genes,Category,Direction
Oxidative Phosphorylation (GO:0006119),GO:0006119,GO_Biological_Process,4.446681918687355e-19,26,NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ATP5F1B;NDUFV2;NDUFV1;ATP5MF;ATP5PF;ATP5PD;NDUFA6;ATP5PB;NDUFA3;NDUFA2;ATP5F1C;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;ATP5PO;UQCRC2,metabolism,TUSC2+ Upregulated
Cellular Respiration (GO:0045333),GO:0045333,GO_Biological_Process,6.414864506932513e-19,29,NDUFB8;NDUFB7;NDUFB6;NDUFA12;NDUFB4;NDUFB3;NDUFB2;NDUFB1;ETFA;UQCR11;UQCR10;COX6A1;COX5A;BLOC1S1;CYC1;NDUFV2;NDUFV1;COX8A;NDUFA6;MDH2;NDUFA3;NDUFA2;COX6B1;NDUFS7;NDUFS6;NDUFS5;NDUFAB1;NDUFS3;UQCRC2,metabolism,TUSC2+ Upregulated
Regulation Of Apoptotic Process (GO:0042981),GO:0042981,GO_Biological_Process,0.0008548717386260366,47,ITGB1;FCMR;VCP;MEAF6;ANP32A;HDAC1;GSTP1;PDCD5;ETFA;CIB1;PARK7;IER3IP1;IKZF3;RTN4;MTDH;MYDGF;PRDX5;MIEN1;CASP8;ARHGDIA;ARL6IP5;FLNA;SAP18;CD38;CTSD;PAK2;CD74;PRELID1;XBP1;ANXA4;PA2G4;YWHAZ;NME1;HIGD2A;SOD1;SON;HAX1;TMBIM4;DDAH2;APEX1;FKBP8;ANP32E;YME1L1;PHIP;PTPN6;ANP32B;CALR,cell_death,TUSC2+ Upregulated
Negative Regulation Of Apoptotic Process (GO:0043066),GO:0043066,GO_Biological_Process,0.0035116721736806,34,ITGB1;CX3CR1;FCMR;HDAC1;GSTP1;CIB1;PARK7;MTDH;MYDGF;PRDX5;MIEN1;ARHGDIA;FLNA;CD38;PAK2;CD74;PRELID1;XBP1;PRKCH;ANXA4;MTRNR2L12;PA2G4;YWHAZ;HIGD2A;SOD1;SON;HAX1;TMBIM4;DDAH2;FKBP8;YME1L1;HCLS1;PHIP;LAMTOR5,cell_death,TUSC2+ Upregulated
Glycolytic Process (GO:0006096),GO:0006096,GO_Biological_Process,0.0151924578199069,6,LDHA;TPI1;PGAM1;UCP2;PGK1;ENO1,metabolism,TUSC2+ Upregulated
