Rebuffet_Subtype,CD56brightCD16hi,CD56brightCD16lo-c1-GZMH,CD56brightCD16lo-c2-IL7R-RGS1lo,CD56brightCD16lo-c3-CCL3,CD56brightCD16lo-c4-IL7R,CD56brightCD16lo-c5-CREM,CD56dimCD16hi-c1-IL32,CD56dimCD16hi-c2-CX3CR1,CD56dimCD16hi-c3-ZNF90,CD56dimCD16hi-c4-NFKBIA,CD56dimCD16hi-c5-MKI67,CD56dimCD16hi-c6-DNAJB1,CD56dimCD16hi-c7-NR4A3
NK2,0,89,42,2179,269,1609,0,0,0,0,0,0,0
NKint,24,0,0,0,0,0,3,27,227,1547,16,738,1218
NK1A,24,0,0,0,0,0,6,102,993,2335,11,599,2653
NK1B,93,0,0,0,0,0,34,341,221,450,7,160,1016
NK1C,16,0,0,0,0,0,80,331,1573,660,50,269,787
NK3,37,0,0,0,0,0,124,67,639,490,51,121,460
