Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,Adaptive_NK,Bright_NK,Cytotoxic_NK,Exhausted_TaNK,P-value,Correlation,RMSE,Absolute score (sig.score)
a4f3f3fa-b161-402b-bc1a-1dddd6be8097,0.0722456807400783,0,0.0397933041798486,0.064571984349408,0,0.207812402028837,0,0,0.0275149755618844,0,0.062511684632969,0.161473867313089,0.00526632099477158,0.184335710031423,0,0.0592440773301589,0.0237274225309872,0.0208376911146143,0.0138948931137356,0.071083642693557,0.252333772192209,0.238125607413502,0.191324148219149,0.0541869346120419,0,0.394544221643916,0.91955997845824,1.75028411905226
3f79d678-e5d5-443e-a7df-187c2acd2b2c,0.125254298134541,0,0.230695865679147,0.0422906324599308,0,0.186703431336319,0,0.022097396983083,0.0365998361504141,0,0.0520388476133943,0.0260348528716712,0.0150123674269958,0.259798222215372,0.0698220966317805,0.0227327474572426,0.297799861425343,0,0.00677488179677652,0.0138999521926594,0.277643274873659,0.419244618471947,0,0,0,0.65103511943707,0.83561987725364,2.10444318372028
35fc369e-6f16-415b-badb-380eedb2157b,0.081897910972036,0,0.0930997106329105,0.00817905039718293,0,0.222345122987473,0,0.015715503765959,0.0591550756861299,0,0.00974627711230078,0.062734428853436,0.0240691545515427,0.0634791346268759,0,0.0514320494771436,0.0162640625273544,0,0,0.0138700423212681,0.352058788264645,0.0829325833912498,0,0.0877490991176641,0,0.457735480572252,0.896993975248644,1.24472799468517
fcb42a31-a716-430f-a0a1-001766fc62b5,0.0838702714547978,0,0.0593345567120003,0.10333971572628,0,0.563546626665112,0.0268713436139968,0,0,0,0.0329061992959495,0.533217692102567,0.171446379392317,0.451077538890803,0,0.013902371819918,0.0425367127238966,0.0395418330866519,0,0.0276925854479736,0.479250852596492,0.23343071097548,0,0.00699585106816255,0,0.745683231569966,0.731546830562945,2.8689612415724
9f938aa7-9fc1-4893-aee4-15ab668b9260,0.0662940081160645,0,0.0225099009049662,0.0428519743744117,0,0.33708854286512,0.00504655159348775,0,0.0238904916286915,0,0.0636625342680919,0.180665253263519,0.0311837594369208,0.285786433052979,0.0817494830418586,0.047795511432557,0.140901216770902,0,0.0604080497878574,0.0177546426527206,0.420376163874549,0.209595069285167,0,0.254880892533903,0,0.670900583986435,0.809815457059537,2.29244047888377
d3ebb2ea-10db-4c29-8e7c-7c13b23b5b15,0.0988004159119622,0,0.132404823688726,0,0,0.0302868136605261,0.0654617852202858,0.00265628944821499,0.0227874075575632,0,0.00527006132968895,0.0572788239178584,0.0166723713271841,0.0316637916128563,0,0.0392355100843987,0.0298081599152173,0,0.00772224475398084,0,0.146159868998497,0.222490894233584,0.0242928683660255,0,0,0.466456283438282,0.901282581453634,0.932992130026569
06deab65-ccea-473f-ad0e-7e3928df2e07,0.0694986281911376,0,0.0043661817234728,0.0348928479574543,0,0.244686681052403,0.000218439216238059,0,0.107970412823458,0,0.0477398005054646,0.263583246572908,0.0426019924225913,0.243882224265632,0,0.00719711061268771,0.0365840146336196,0,0.0207508737027969,0.040639900927106,0.483447823934989,0.244574926139138,0,0,0,0.596195879523097,0.830948401696212,1.89263510468109
b7f29b8c-08a8-4781-ba33-5a7b6b02ad23,0.132526497033551,0.00342193892937679,0.267448804435209,0.207213356532867,0,0.00877914482389471,0.065821213584368,0.0846285465257927,0.0863600955109295,0,0,0.278208238395665,0.125073793295901,0.200646113954472,0,0,0.0157633756845435,0.00255233190855108,0,0.0074190194020445,0.796190237917995,0.369258614758712,0,0,0,0.795262883233526,0.756400342950292,2.65131132269387
27266d85-3f2c-489f-9e5d-663d94ae9f55,0.1950709323837,0,0.115808627893854,0.158235868548361,0,0.234121387442715,0.293629635885613,0,0,0,0,0.34078917347492,0.138765202359272,0.239289285996047,0,0.00462967122043642,0.0414307603600307,0,0,0.0397473556664564,0.596485535687884,0.452903543628537,0.126206062407028,0,0,0.807788633744262,0.74102675213404,2.97711304295485
b8e8f06f-a5a9-4d16-b39f-585dcee31087,0.147600823959562,0.00445944281947895,0.129502752120474,0.047505974253784,0,0.450974776412948,0.00850856745565386,0.0298074922098736,0.0362628145869053,0,0.0288052430740537,0.0296018710318943,0.0430923267300495,0.191255967691158,0.239271605714985,0.021993906825932,0.0690715208800692,0,0.0597413606734293,0.00935961846182955,0.17010051527347,0.26281732880782,0.0224450274037183,0,0,0.674393885433277,0.804104819562958,2.00217893638709
d7c787e0-6416-4724-8954-85467906f90d,0.0273165004965426,0,0.435214788548357,0.0868012558534075,0,0.181976358858126,0.111513146345305,0,0.000696037592001793,0,0,0.1593701845038,0.0406627378065532,0.0992918859125108,0,0,0.0392159272157475,0,0,0.00726139167356474,0.427969093866369,0.0557892429390069,0.00725452789456714,0,0,0.742003819911051,0.786345751171214,1.68033307950586
e2f47d3a-0e1a-47cb-a53f-697e2a3cb89b,0.0497427235421438,0,0.0840079735951863,0.0780258405714926,0,0.0758295149526331,0.135955527501955,0.0144721486610193,0.0313663600983529,0,0.0280415100607535,0.120911739666424,0.0871937035639197,0.193687299469367,0.17538503796144,0.00926312199086138,0.0739326415595442,0,0.0330157301989613,0.0137779165404336,0.453358531060139,0.224446916521198,0,0,0,0.666660905170667,0.816717867871198,1.88241423751582
afccc865-1d58-475d-b85c-0d7eca330b0e,0.0747165220372706,0,0.00181222411302276,0.0307732802158544,0,0.398068215021927,0.00260040756847615,0,0.0421185348448418,0,0.0269264569010212,0,0.0257899563260196,0.136260602002615,0.566360846694222,0.118635452624951,0.109913833275341,0,0.0194869095543549,0.0140677603898289,0.313060975569632,0.259681368319907,0,0,0,0.58585386634455,0.835251007842663,2.14027334545928
