Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,Bright_NK,Cytotoxic_NK,Exhausted_TaNK,P-value,Correlation,RMSE,Absolute score (sig.score)
05e15869-61fd-420f-b0e4-a2faaa814aca,0.215910960101132,0,0.134302446639738,0.0284586844575055,0,0.37031675309489,0,0.0656300324061747,0.0886757619576192,0,0.0433570004359884,0.275020139569024,0.119370391068052,0.292251945567364,0.0456387402612485,0,0.154823883495316,0,0,0,0.378708366558687,0.0338448495824563,0.0537908628257441,0,0.712319397924893,0.779826530592609,2.30010081802094
1100a85c-823d-417b-a764-9282ec8593a5,0.11397004310697,0,0.0482710588126928,0.0424277083166781,0,0.174036960057036,0,0.0499809131596906,0.0272886533577258,0,0.0106836615394841,0.0891056614756047,0.0986453888664796,0.120202207385553,0.0337487228248289,0,0.165208594443737,0,0.0194908850368695,0.00354845030272765,0.363887767096116,0,0.297032320509066,0,0.536360667895179,0.869625119425022,1.65752899629126
774f5688-bad0-4a78-b26a-7aceb353e603,0.060881215832296,0,0.0246586345872231,0.0737049059931272,0,0.128964374047961,0,0.0269042375976138,0.181615782796594,0,0.0542804426890111,0.0626989235713299,0.0920099003378297,0.223775994972071,0.0568750069801984,0.0207277091842485,0.225016808669735,0,0,0.001935034600383,0.309741340672451,0.282755803832165,0,0,0.601159259920656,0.840844668325747,1.82654611636424
a95ecb1b-9dd9-4916-9b73-b967278f3d85,0.13336578031216,0,0.0371947601553359,0.0254805128321229,0,0.314379813991913,0,0.0210955013003998,0.0882136970203594,0,0.00754012603013488,0.254986414795426,0.0895872236382686,0.278815132487815,0.123636133961307,0.0105666235354577,0.442937600010953,0,0,0,0.338883047549141,0.137360059972744,0.0150360350845365,0,0.723434148293118,0.775726731847787,2.31907846267808
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f,0.20324853141984,0,0,0.0827402624592281,0,0.121685237144324,0.0101978818850348,0.0616887100722171,0.140363502151799,0,0.0294643408451248,0.139934632971637,0.18767584145744,0.133430957027837,0.0195379504510609,0,0.180049717711342,0,0,0.00496712460303151,0.370296795887846,0,0,0,0.610353734929199,0.818633367070403,1.68528148608776
698e64da-61aa-4d7b-9f33-21d627cb4721,0.285910360501997,0,0.209421956542537,0.121780422287166,0,0.332939874705063,0,0.114093534623511,0.167290253115863,0.00901276225528591,0.020859705425622,0.381520044298156,0.212373992600982,0.17776403899866,0.0745052970808364,0.00989001739256842,0.117530505361421,0,0,0,0.557622873743019,0.179789265980616,0,0,0.802566630162557,0.735951444278868,2.9723049049133
039eaafb-c311-45ff-9df7-30c1b0bab00a,0.13716846421989,0,0.0305127570932259,0.00865903888482824,0,0.138213137845943,0,0.0361681574751105,0.0497006886752809,0,0.00932788658527399,0.185195054181231,0.0305718754958196,0.33939699124933,0,0.00235327568596991,0.241166709101464,0,0,0.0183576637635494,0.24488425066296,0,0.308903394776663,0.024,0.219803129637148,0.985571552504942,1.78057934569654
6e8eeaae-cc26-4db8-85f6-5c975b06bf45,0.14952404029362,0,0.157907038970498,0.102434126505765,0,0.211771588437883,0.0130206964718863,0.0279484683778174,0.0525334201001005,0,0.00936766590776907,0.0700467016458119,0.112880687173272,0.27194473172022,0.068026680188316,0,0.103533224506831,0,0.0280741242787389,0.00642058363642845,0.410547145183586,0.199341012147698,0,0,0.630101912530467,0.830684315435828,1.99532193554624
56cb5294-9156-4930-a3ab-c2607a79b65e,0.148587872239667,0,0.0344831540128869,0.04561308663945,0,0.300820321338177,0,0.0509831364637798,0.0303461279605461,0,0.0122119806724299,0.109171267912606,0.11492983032432,0.153728765743081,0.0108129696540284,0.00474534619926609,0.174870267001351,0,0,0,0.356212242961912,0,0.197736283715362,0,0.557391213279228,0.853988751897877,1.74525265283886
dede0990-1733-4473-bc48-78605f16834c,0.174420811790903,0,0.0598517201406227,0.0528989531026744,0,0.126972352701493,0,0.0514626687336078,0.110855710340048,0,0.0158419351944613,0.217416798741743,0.0425959434889862,0.181913742685487,0.00298574570265281,0.00045776420469222,0.164993989597827,0,0,0.00323265345472425,0.443607245653062,0,0.188053377488048,0.002,0.476445006920603,0.890084001765285,1.83756141302103
e22c6b51-c27e-468f-883c-f71918330eb0,0.130974634775896,0,0.0832366337998306,0.0749401986910171,0,0.183332640567295,0,0.0955687119945942,0.0993404670276102,0,0.0152664119257774,0.222537691340908,0.0915471095465546,0.117323849997443,0.0880198038572067,0,0.107826242805525,0,0,5.80856595052361e-05,0.403381771712027,0.0311072536050527,0.0352380510059766,0.004,0.31158376634963,0.950840311236041,1.77969955831222
30285113-d411-475a-a8ed-1fb66be72f28,0.128153307008451,0,0.075551655663128,0,0,0.347808579638058,0,0.0839785199040229,0.0244712363124283,0,0,0.217461821859041,0.0870824233609296,0.32863152426439,0,0.0149019073285623,0.173147098923345,0,0,0,0.089044810799899,0.0809773851356793,0,0,0.60661498686088,0.816492470268479,1.65121027019793
b1d64529-4f34-4644-b0e7-20606827ccd4,0.0843800285954865,0,0.0434440735300525,0.107409493615018,0,0.0608447667755621,0.106839497228901,0.0498159194601974,0.0785774764525826,0,0.0209757227553964,0.0594509831181624,0.104922564041043,0.0403774197248417,0.00832113349873127,0.00552209330199334,0.0251580837019092,0,0,0,0.411622878013238,0.0496756168047157,0.207220027998381,0.002,0.499315475066279,0.877304463981885,1.46455777861621
4541a5e4-240b-466d-bbc4-3904581490f3,0.102718735480824,0,0.0517095725671964,0.0105272215228006,0,0.119710094457419,0,0.0220060216731052,0.0724562707891398,0,0,0.368377837425202,0.0592987962099338,0.14116030549208,0,0,0.202552264358056,0,0,0,0.258994474754707,0,0.104014544161779,0,0.687569095577189,0.775165215028227,1.51352613889224
