Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,Bright_NK,Cytotoxic_NK,Exhausted_TaNK,P-value,Correlation,RMSE,Absolute score (sig.score)
f046b934-4493-4370-ab7f-b98a6b803601,0.162419900359509,0,0.0105894384067108,0.0251513789377136,0,0.233708162506099,0,0.0423877458881758,0.0966570885815558,0,0.0329769623959851,0.0841265257261951,0.00761130543901391,0.264957178948204,0.139179057667797,0.0465165232106998,0.0338989414020885,0,0,0.00284434880510316,0.765169790523313,0,0.0596656689062201,0.01,0.282921173817259,0.961239038738239,2.00786001770438
6431f928-acb4-44d0-8085-466476609cc1,0.215369019778129,0,0.0225381918754511,0.112393127609044,0,0.0202459549992024,0,0.0503236773386055,0.0661645991137991,0,0.0428047477049384,0.12052550482066,0.0232214762357843,0.0429280338466411,0,0,0.0387859842534036,0,0.0180098053566285,0,0.35146471743688,0.484649764621001,0,0.022,0.222805131632041,0.984135939422283,1.60942460499017
f62fa056-d687-4add-8211-54a070b8b601,0.142344381755721,0,0,0.14571997284035,0,0.147612175744835,0,0.017010261536394,0.0933844921333597,0,0.121528600922624,0.05228647000538,0.00839482070645934,0.0959044718195925,0.0474683452518115,0.0578669753971679,0.0440052036855896,0,0,0,0.795949881610087,0.00289762509667822,0.0413218719264959,0.01,0.286760785281477,0.960670043869354,1.81369555043255
47f923de-addc-4014-9b5c-cd4184933ec3,0.131509849506595,0,0.0374774885045327,0.0651068754723198,0,0.48753502050861,0.0165451593734892,0.00712873955946413,0.110948211023451,0,0.0875991870900537,0.252971899516715,0.0147689436208978,0.153171664069433,0.230247917328013,0.0749784584822198,0.037927129468824,0,0.00725680672828041,0.00340379000689484,0.614325078607336,0.00669234869331072,0,0,0.564038956863132,0.846757566702302,2.33959456756044
05c2e90c-544c-425c-8bc2-961653ee1e7b,0.201795133153571,0,0,0.0760810914821798,0,0.324581779878371,0,0.0202695797160212,0.127104434159524,0,0,0.298458462009425,0.0598043312654746,0.19447760356801,0.18504334495352,0,0.0457400527332584,0.000663010916630356,0,0.00885191855774157,0.737936564720986,0,0.12128602985095,0,0.572774107512555,0.84564868377454,2.40209333696566
f2090b33-a556-4629-83cf-0aef66458cf3,0.177251553847096,0,0,0.0517202877251478,0,0.279880220906123,0,0.0455816234467701,0.137406593363754,0,0.0539708175817003,0.0646753226654692,0.0196206170918308,0.0796403243607374,0.231373845926599,0.0641025165330696,0.023231729255615,0,0.0187084214578484,0.00180990513435757,0.525303194238888,0,0.347958599963053,0,0.483871559033192,0.887334685543494,2.12223557349806
7fff8b0c-7cb4-493d-a740-1e455fc5efef,0.0763681750640883,0,0.0149041109759892,0.0687989719691806,0,0.0930321044347757,0,0.0348444854030439,0.0746750607512301,0,0.0162301681775289,0.0323362531360489,0.0369537365960812,0.0826790745044698,0.0336918703819823,0,0.0286703023320445,0.00906723543736054,0,0.00344846287275742,0.23488190134665,0.234805706472143,0,0,0.66017846481461,0.8143722886226,1.07538761985537
c9c46e93-1cc0-48dc-8db7-47c658eb8616,0.125769620557277,0,0.111874872847694,0.332730703895971,0,0,0.0425825501760487,0,0.0761070893731759,0,0.0434511642263155,0.0869237297344185,0.0449620540780199,0.0570428838501214,0.00626628607325343,0,0.0456703039331121,0,0,0,0,0.4524362764814,0.10839949495738,0.01,0.283945028195899,0.963919971289164,1.53421703018419
af6bc501-ab5d-4635-8ef2-b9fdbe1e6585,0.283428416267348,0,0.0742991539976044,0.092579052528187,0,0.249828959056934,0.0252874632266256,0.103485785778626,0.0717224508156724,0,0,0.165764571694771,0.141785653853144,0.167131768159769,0.296999028341839,0,0.114881130594728,0,0,0.00956894254394636,0.705210241157301,0,0.113159145424782,0,0.675273587954351,0.810447136384617,2.61513176344128
fee3f648-045b-498e-b0d0-41abda8ed0e7,0.149362143599802,0,0.00860714226743568,0.0354626441539758,0,0.180768049936207,0,0.0384960522000218,0.0967510417041054,0,0.0163446495736025,0.115610449345496,0.0355857314465178,0.108059014128549,0.0397256509655999,0.0075894402039584,0,0,0,0,0.830953521654882,0.0447811059661672,0.100061635459972,0,0.49931665354,0.88236969901221,1.80815827260629
