Mixture,B_cells_Memory,B_cells_Naive,CAFs,Cancer_Epithelial,DCs,Endothelial,Macrophage,Monocyte,Myeloid_Cycling,NKT_cells,NK_Bright,NK_Cytotoxic,NK_Exhausted_TaNK,Normal_Epithelial,PVL,Plasmablasts,T_cells_CD4+,T_cells_CD8+,T_cells_Cycling,P-value,Correlation,RMSE,Absolute score (sig.score)
a4f3f3fa-b161-402b-bc1a-1dddd6be8097,0.0317841641453616,0,0.0772984185361819,0.9352479551053,0.00964727654460654,0.200131661534286,0.134110381187766,0.129066432163688,0.0862234273972604,0,0,0.149086106429141,0,0.153892980281981,0.0287754844894097,0,0.0516476881169469,0.0369316624987151,0,0,0.581980055680287,0.817522653756344,2.02384363843064
3f79d678-e5d5-443e-a7df-187c2acd2b2c,0,0.08437491052835,0.300630871262681,0.678919305626766,0.195676628477743,0.243729364079788,0.183933376332586,0.015078366817593,0.245069182384307,0,0.0092724947340154,0.145751550926927,0,0,0.0423990515827855,0.0577484187502361,0.13829015465578,0.0566339820629133,0,0,0.672672263065131,0.761818748010406,2.39750765822247
35fc369e-6f16-415b-badb-380eedb2157b,0,0,0.462603420444521,0.579591250990714,0.0302385305775804,0.151861125083717,0.0285532998853884,0,0.157476875324484,0.0355608316324966,0,0.070354933849056,0,0,0,0.231417771502317,0.0882998561787293,0.00886810429046736,0,0,0.715082996763847,0.712662725334453,1.84482599975947
fcb42a31-a716-430f-a0a1-001766fc62b5,0,0.0748196833384493,0.724488049819312,0.617169817775533,0,0,0,0,1.51168817632387,0,0,0.126014303356953,0,0,0.000972602810840553,0,0.196247985835039,0.0894926199148956,0,0,0.771215665077977,0.66235066529686,3.3408932391749
9f938aa7-9fc1-4893-aee4-15ab668b9260,0.051800291372602,0,0.422857788776979,0.579676426998704,0,0.155122912990729,0,0.0656028802555831,0.968005739923661,0,0,0.165491647096305,0,0,0.0505464814606666,0.0188684425584435,0.228350713334371,0.130320853276112,0,0,0.719818548043032,0.727257892436745,2.83664417804416
d3ebb2ea-10db-4c29-8e7c-7c13b23b5b15,0.00446946463524836,0.00371373094667616,0.0569764612547997,1.22865226389654,0,0.01927662817287,0,0,0.320689768875092,0.0285524471110591,0,0,0.0185907462154717,0,0.0156817044732955,0.022285924786948,0.0345329698358248,0,0.0439584374313986,0,0.505139718674766,0.863074196096438,1.79738054763522
06deab65-ccea-473f-ad0e-7e3928df2e07,0,0.0781528046522636,0.182452122988782,0.817973437092137,0,0.093840216475838,0,0,0.962139026442123,0,0,0.11872296131798,0,0,0.00131692172547743,0.021572267378281,0.0718162158600374,0.0887717106778749,0,0,0.568849133806078,0.826023209638616,2.43675768461079
b7f29b8c-08a8-4781-ba33-5a7b6b02ad23,0.0979429197014187,0.0192871844422309,0.150362262814202,0.780511332674248,0,0.0133004820609177,0.297765443205624,0,0.208047344911694,0,0.0170126841099531,0.216894233369492,0,0,0.00926567947609881,0.0918253060947195,0.0856127063944498,0.0111345106460318,0.105032325277326,0,0.412074123672439,0.912585520585478,2.10399441517841
27266d85-3f2c-489f-9e5d-663d94ae9f55,0,0.0481799194096207,0.418836309275601,0.894290277959099,0,0,0.0818337862458596,0.0747609466111283,0.781169902601959,0.133031006527454,0.0169759497474168,0.0738753903576908,0,0,0.0122149314155302,0,0.257389930127523,0,0,0,0.682545604073857,0.751019267930617,2.79255835027888
b8e8f06f-a5a9-4d16-b39f-585dcee31087,0.0503220463202875,0.0224113416423893,0.139453495872292,0.941070148049564,0.0733057954618104,0.227843990127236,0.143495038086105,0.122983305829073,0.202113289374849,0,0.0130957828082972,0.141851168250021,0,0,0.0312977965501033,0.0546309194216823,0.113808785868148,0.0278547194851489,0,0,0.71164545077739,0.74576872376361,2.30553762314701
d7c787e0-6416-4724-8954-85467906f90d,0,0.0403502592756466,0.51895006856396,0.416627246014851,0,0,0,0,0.433664460500388,0.00259942323164323,0,0.121038877635568,0,0,0.0124754336228274,0.143849086366016,0.0642511803817252,0.0663736671917001,0,0,0.729878790420877,0.696790609553871,1.82017970278433
e2f47d3a-0e1a-47cb-a53f-697e2a3cb89b,0.00169877404098144,0,0.147075605145013,1.01638673033444,0,0.0428957547402734,0,0,0.906694636225064,0,0,0.112133911451464,0,0.000908207779840428,0.00611492566967523,0.0669844368342908,0.0924891282833212,0.0412100944680228,0,0,0.634265839426744,0.786947400307958,2.43459220497239
afccc865-1d58-475d-b85c-0d7eca330b0e,0,0.116428105223369,0.225234139611863,0.638088229716429,0.127454269314966,0.134427454192255,0,0,0.646139886955898,0,0.0270325559173499,0.0826603248106576,0,0.0994271396426455,0,0.00574225999598135,0.12828029980331,0.0315961627040982,0,0,0.774864280541199,0.694241463117142,2.26251082788882
