Mixture,B_cells_Memory,B_cells_Naive,CAFs,Cancer_Epithelial,DCs,Endothelial,Macrophage,Monocyte,Myeloid_Cycling,NKT_cells,NK_Bright,NK_Cytotoxic,Normal_Epithelial,PVL,Plasmablasts,T_cells_CD4+,T_cells_CD8+,T_cells_Cycling,P-value,Correlation,RMSE,Absolute score (sig.score)
05e15869-61fd-420f-b0e4-a2faaa814aca,0.0167405301288775,0.00842653746839136,0.72753955009745,1.03729243917971,0.0445507317314059,0.171560167773543,0.111959234354918,0,0.374816207478317,0,0.0316322031932474,0.0531850173827672,0.253111177826367,0,0,0.0341988130084325,0,0,0,0.888061697440068,0.574684269336453,2.86501260962343
1100a85c-823d-417b-a764-9282ec8593a5,0.030566079590768,0,0.351216309341828,1.31918705311216,0.0181360918205088,0.0726876580452369,0.00780586096049529,0,0.212753507346752,0,0.0110522394757705,0.0148427062686181,0.0449730128247258,0.00932253911233092,0,0.00476245608568563,0.00471574441720979,0.00396970570753317,0,0.81421317574193,0.670982248636551,2.10599096410962
774f5688-bad0-4a78-b26a-7aceb353e603,0.0128106125197953,0,0.225808904560229,1.45974738462819,0.0592955360391416,0.0533205011218534,0.0229771264641721,0,0.53685648303187,0,0,0.0579382795721397,0,0.00499578581803386,0.0159378848584887,0.0183224918836302,0,0,0,0.592553524422464,0.813540559747327,2.46801099049754
a95ecb1b-9dd9-4916-9b73-b967278f3d85,0,0.00910437951251861,1.00797500103771,1.0223590882739,0.0956122255906967,0.0115165348679043,0.020967994699367,0,0.278209439599552,0,0,0.0433563703553446,0.359591118600459,0,0,0.0443976199649867,0.00244981666848818,0,0,0.860621309239108,0.572400149458329,2.89553958917093
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f,0.0109040946244618,0.00180878321397982,0.442739704890815,1.36826596148037,0.047531205170618,0.0215372267805252,0,0,0.359767359293226,0,0.0116908214729625,0.0213570709367259,0.0478057279586748,0,0,0.00244349170017764,0,0.0127865505541575,0,0.807076273612392,0.669251140068364,2.34863799807669
698e64da-61aa-4d7b-9f33-21d627cb4721,0.0640828795558507,0,0.659861806521946,1.04681771535958,0.134254902154866,0.0528833609135082,0.0318831496961723,0,0.343329642212656,0,0.00409731891261661,0.0634455919830909,0,0,0,0.00156324581822874,0,0.0526106231468041,0,0.777923946898855,0.669890907977439,2.45483023627531
039eaafb-c311-45ff-9df7-30c1b0bab00a,0.00371227921220396,0,1.00276288472695,1.19667476549399,0.0518512042522304,0.0170621471940661,0,0,0.392331306720044,0,0,0.0124517957673793,0,0,0,0.0180254702239456,0.0069378462038512,0,0,0.720991598899839,0.704086514317727,2.70180969979466
6e8eeaae-cc26-4db8-85f6-5c975b06bf45,0.00882576635727112,0.0411691632631872,0.21899958487377,1.41704434212741,0.0507825294182595,0.100831775520397,0.0567365205360661,0,0.37734366005724,0,0.0473257570838202,0,0.00828210906630532,0,0,0,0,0.0330015138033715,0,0.790463566329475,0.688419725772881,2.3603427221071
56cb5294-9156-4930-a3ab-c2607a79b65e,0.0332767728562859,0,0.556504647619713,1.4917246362309,0,0.112247805306473,0,0,0.25089981538576,0,0.0105327385420762,0.00668494053275702,0.134952208507779,0,0,0.00924933111529694,0,0.015543980851685,0,0.801803034270852,0.669020830866478,2.62161687694872
dede0990-1733-4473-bc48-78605f16834c,0.0619440019324242,0,0.669640548229608,1.47856911219261,0.074987859496955,0,0.114356111257112,0,0.0724039655465688,0,0,0.0247855049461159,0.13410764859985,0,0,0.0212290046131031,0,0,0,0.834237722093443,0.62809491197516,2.65202375681434
e22c6b51-c27e-468f-883c-f71918330eb0,0.0317917376452185,0,0.299220310930118,1.4411144787609,0.0568143421516724,0.0393926864868842,0,0,0.277202349788829,0,0.0122061165929466,0.0112615066525533,0.000668693634607539,0,0,0,0,0.0565673915048199,0,0.700463804706634,0.751275954422262,2.22623961414855
30285113-d411-475a-a8ed-1fb66be72f28,0,0.0184857981108935,0.785938883547528,1.26117404708204,0.0427260090528688,0.0111019071527128,0,0,0.55043735832482,0.0236521408363328,0,0,0,0,0,0.0105531171038405,0,0,0,0.65475922239646,0.762986648930271,2.70406926121104
b1d64529-4f34-4644-b0e7-20606827ccd4,0.00996894442805628,0.00818529546230628,0.0533763502090492,0.815634280587329,0.0328595988848934,0.0368824448168089,0,0,0.222812418680036,0.00982046484325052,0.000802238231563403,0.00810470112299347,0.164022649467391,0,0.0145750329194875,0,0,0.13566650488213,0,0.794486476181703,0.695066337821741,1.51271092453529
4541a5e4-240b-466d-bbc4-3904581490f3,0,0,0.256449519768341,1.38238748357163,0,0.0079393501178038,0.0131734607417428,0,0.222540325433099,0,0.0144950926709739,0.0185516453356188,0.202425032997777,0,0,0,0.00522203228385943,0,0,0.867597648833323,0.626948999400383,2.12318394292085
a33f7e32-cc76-476b-b35c-b03864b72cbb,0.0201585373898014,0,0.0203351429401978,1.2715454160939,0,0,0.00126383340016535,0,0.22453816788312,0,0.00381686786249066,0.00612899856884112,0.01167924706341,0.000294407452452316,0.000336225070330519,0.00117747264501139,0,0.0329206720547904,0,0.6626725599326,0.775938617706358,1.59419498842451
7e6ed4fc-b4bf-46c7-9f31-24a0c32c039e,0,0.0438068742755943,0.157091212998691,1.19024128533662,0.00749437230027602,0.0186255879392182,0.0805821617238345,0,0.592814643612321,0,0.0245645361542948,0.023704201664757,0,0,0,0.0456551468687769,0,0,0,0.731158927570805,0.71775265646909,2.18458002287439
61325789-0b1e-473d-8b71-5ec13ec1dcb7,0.0486770431836933,0,0.57948909230082,1.08792488667314,0,0,0,0,0.666630217611524,0,0.00575238625090263,0.0176846938830347,0,0,0.0156622992205156,0.0586197936999595,0,0,0,0.697677050903816,0.736641028110215,2.48044041282359
79f139fe-fecb-4b0e-b668-3407c13748d8,0.113767123845626,0,0.775864493649625,0.645541030559214,0.0144071407554176,0.110222487424581,0.016380898842184,0.0440222274298128,0.295655473480964,0,0,0.0258146994993535,0.468536417213119,0,0,0.0242112984999264,0.0257509273612818,0,0,0.83546513510141,0.604601221666388,2.5601742185611
