Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
05e15869-61fd-420f-b0e4-a2faaa814aca,0.270101807456135,0,0.245831162269621,0.108648594386872,0,0.63072982109687,0,0.183765831744405,0.151195425399315,0,0.0349016092824444,0,0.0858546728909736,0.385661053237996,0.181751860080854,0.468899829573528,0.0733851976967816,0,0.231911248944934,0,0,0.00322145813136093,0,0.451412581589084,0.892942476045533,3.05585957219209
1100a85c-823d-417b-a764-9282ec8593a5,0.215415534474479,0,0.134317479820452,0.121337332644689,0,0.304674222314607,0,0.121864159656118,0.0983133992174496,0.0114520114691369,0,0.00421852878068906,0.0155134500449807,0.198448392450076,0.188306674033161,0.24669760564944,0.0319800996048594,0,0.407010942560463,0,0,0.0110394036141551,0,0.459249703856799,0.889532477268428,2.11058923633476
774f5688-bad0-4a78-b26a-7aceb353e603,0.0648208176958716,0,0.0563290739448044,0.177129478190644,0,0.241009160339179,0.0143222982661798,0.103173222497475,0.261081924144028,0,0.091799353053449,0,0.0698152002089248,0.0707258065783855,0.132799899178541,0.371560488974601,0.0397858538699389,0.0500016501944197,0.3322936279917,0,0,0.0071140913924693,0,0.591018883822436,0.829024003309352,2.08376194652061
a95ecb1b-9dd9-4916-9b73-b967278f3d85,0.165204598957485,0,0.102039089292503,0.248815109520123,0,0.442692671144111,0.00815340536455663,0.0728654148056931,0.149850602181728,0,0.00757786137703125,0.00986220613397189,0.00696878717342922,0.317002921353804,0.123867578473935,0.39657986793027,0.130535230450661,0,0.683734541092884,0,0,0,0,0.649885369367885,0.801219125646471,2.86574988525219
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f,0.133996858077815,0,0.1794953747026,0.186373752114289,0,0.17747575782211,0,0.117712604765517,0.234061026261543,0,0,0.132643298880595,0.0250108488143368,0.196648158146111,0.231681164096552,0.210996167082569,0.0285370079885421,0,0.429098003944743,0,0,0.0109457043645382,0.002,0.370132511115806,0.928875985192553,2.29467572706186
698e64da-61aa-4d7b-9f33-21d627cb4721,0.368440945209241,0,0.400727639480019,0.315160300943784,0,0.513290772218181,0.0867315820675656,0.244448200606441,0.435619366604585,0.164548857135159,0,0.0172616109989694,0,0.518295881677045,0.340143329231435,0.375965787978377,0.0782182932712955,0.0796786549122303,0.285172363624912,0,0,0,0,0.481400384949616,0.877781769072618,4.22370358595924
039eaafb-c311-45ff-9df7-30c1b0bab00a,0.150730318800106,0,0.0605818663975511,0.0540112226063735,0,0.180504325039364,0,0.0926309093063053,0.0731792196794295,0,0.0184907576353962,0,0.0396263426670212,0.260299058068298,0.0343793814511133,0.496130489682304,0,0.0458430717286986,0.448725465019426,0,0,0.0199863322130575,0.004,0.330522421248511,0.9463218805551,1.97511876029444
6e8eeaae-cc26-4db8-85f6-5c975b06bf45,0.0588464675565389,0,0.210499784727617,0.231290558026646,0,0.3232009482109,0.0229464272084949,0.166782082702356,0.150762631478868,0.0425366042801199,0.00204911212863212,0.00358885973922166,0.030132044942752,0.174710830670844,0.185197071509154,0.441376273889968,0.0427703959687225,0,0.267091707861966,0,0,0.00995922643363324,0,0.550715660936153,0.847532373221191,2.36374102733643
56cb5294-9156-4930-a3ab-c2607a79b65e,0.145347248489711,0,0.0746972843450248,0.108957472650151,0,0.458237314723822,0,0.10176858658162,0.0548724626818105,0,0,0.0482385200637907,0.00197602327992973,0.146609655584234,0.163668248645259,0.2574676965647,0.0616631466318231,0.00912467261114083,0.434262612763812,0,0,0.00842927050496125,0,0.512180009057598,0.865504446113268,2.07532021612179
dede0990-1733-4473-bc48-78605f16834c,0.271268129983273,0,0.246279256434843,0.160120329486617,0,0.186794993724568,0,0.223435344555386,0.0811146219377399,0,0.0275543306303575,0,0.0671504899125944,0.287854957883522,0.0900800363442363,0.347242645725597,0,0.0190319273732182,0.385464713416715,0,0,0.00699866772473904,0,0.471835455148554,0.884109601691066,2.4003904451334
