Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,Bright_NK,Cytotoxic_NK,Exhausted_TaNK,P-value,Correlation,RMSE,Absolute score (sig.score)
05e15869-61fd-420f-b0e4-a2faaa814aca,0.216033841332507,0,0.132695498650366,0.0268169674576425,0,0.373469920965592,0,0.0685867617886378,0.0845961530825591,0,0.0435368410190728,0.273818286633383,0.119150711343744,0.291381257895642,0.0456280429111688,0,0.154226098812463,0,0,0,0.407843246513562,0.0184705253703933,0.0425574580949711,0,0.712127281865212,0.780077891122895,2.2988116118717
1100a85c-823d-417b-a764-9282ec8593a5,0.124542458418498,0,0.0519673059684966,0.0384966993741269,0,0.181306605151879,0,0.0555058514005059,0.0148427497650725,0,0.0137833697837069,0.0601587653940583,0.116496024204679,0.114224702381538,0.0488366913991342,0,0.128526001001494,0,0.0302624088405029,0.00425218665988938,0.400592448748672,0,0.272015234456026,0,0.536354467391283,0.868766248875544,1.65580950294828
774f5688-bad0-4a78-b26a-7aceb353e603,0.063918719985809,0,0.0238019578845596,0.0707659557140437,0,0.137863562831138,0,0.0375533011528209,0.168943224971371,0,0.0543216857382097,0.0606006480968037,0.090106571535036,0.220295670795795,0.054537532054913,0.0290044996262023,0.216609614023743,0,0,0.00181549981546619,0.344669130143887,0.251249978516339,0,0,0.604639439019929,0.83994726015459,1.82605755288614
a95ecb1b-9dd9-4916-9b73-b967278f3d85,0.135322216784498,0,0.0366523437447119,0.0437358850826425,0,0.312244290950484,0,0.0209824784393175,0.0879306305798389,0,0.0080962469292467,0.253564872066402,0.0890435085508718,0.282151202359699,0.122190807844969,0.0104575220556951,0.438200619066594,0,0,0,0.370010177304959,0.0916385747120364,0.0152384656469336,0,0.722421200569226,0.775527252992479,2.3174598421189
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f,0.201300105503355,0,0,0.0821420433180867,0,0.121747573263359,0.0101156290039704,0.0615264793845105,0.13765694747404,0,0.0280079513764735,0.136534898802178,0.184398227623489,0.130900900062302,0.0199462831290004,0,0.177193972766173,0,0,0.00506928696756735,0.387988180989142,0,0,0,0.609482680451751,0.820010083120631,1.68452847966365
698e64da-61aa-4d7b-9f33-21d627cb4721,0.287418923289859,0,0.209597982396478,0.122741151963698,0,0.338207206001604,0,0.113904811731683,0.16932806156539,0.00746286751171045,0.0212972643104919,0.385144177011551,0.214067122519308,0.17873683962278,0.0754159171477781,0.00969345867802188,0.116740032575535,0,0,0,0.615605856193175,0.104958580865651,0,0,0.803881363784738,0.734316892130631,2.97032025338472
039eaafb-c311-45ff-9df7-30c1b0bab00a,0.142479699207422,0,0.029828282028125,0.015956078907466,0,0.138480709975491,0,0.032771858341013,0.0501851442743488,0,0.00810158481778893,0.187114663092541,0.0327608620141463,0.343489497364462,0,0,0.236462101082881,0,0,0.0184788134688138,0.25312494067287,0,0.290127247249199,0.014,0.219666173696973,0.985869869355767,1.77936148249657
6e8eeaae-cc26-4db8-85f6-5c975b06bf45,0.14794009944282,0,0.159803739787369,0.102706431076398,0,0.211824772842923,0.0157853054297277,0.0284315149149448,0.0490758300012003,0,0.00909619369272432,0.0714002568449068,0.114542203492352,0.273581764730502,0.0683414717367996,0,0.103243604480966,0,0.0281424725819548,0.00701957991497857,0.460433606101639,0.143220979134876,0,0,0.633401105187016,0.829368294354459,1.99458982620708
56cb5294-9156-4930-a3ab-c2607a79b65e,0.134256405805262,0,0.0338817962498126,0.0430000727035385,0,0.298627256284622,0,0.0520728842832622,0.0312618257580656,0,0.0119806465847458,0.111169626029878,0.116559954079152,0.155128090561676,0.0112247929137672,0.00499570645756563,0.178665580817943,0,0,0,0.384389945007591,0,0.177087065259538,0,0.560905357158869,0.852793766588062,1.74430164879642
dede0990-1733-4473-bc48-78605f16834c,0.160779101357798,0,0.0588528963096897,0.0489614125687864,0,0.132186286833499,0,0.0514402864634535,0.112377193633101,0,0.0159010945483357,0.219759779000671,0.0434277283154523,0.183424589792367,0.0033394464014868,0,0.165253471466813,0,0,0.00312168809284301,0.447700100893442,0,0.189396039332958,0,0.478315454248152,0.889427987476757,1.8359211150107
