Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,Bright_NK,Cytotoxic_NK,Exhausted_TaNK,P-value,Correlation,RMSE,Absolute score (sig.score)
05e15869-61fd-420f-b0e4-a2faaa814aca,0.216216995646233,0,0.133555381278981,0.0289902644862997,0,0.367913252664269,0,0.0673358895050836,0.0883059758114107,0,0.042979533756027,0.274636514270786,0.119311214434559,0.292479922676629,0.0456719062396588,0,0.156026913120877,0,0,0,0.384278089903335,0.0305372587766863,0.0517059677152734,0,0.71212922442597,0.779894632209322,2.29994508028611
1100a85c-823d-417b-a764-9282ec8593a5,0.114561218097694,0,0.0478145077691341,0.0419972462891718,0,0.174210004566118,0,0.0536923086369938,0.0260735342616238,0,0.0106875070716573,0.0890779498408642,0.0996512908849004,0.120214181874824,0.0332118414025713,0,0.164356034420455,0,0.0193398333097745,0.00347301465468951,0.360676071897407,0,0.298526563381292,0,0.536121633377407,0.869401444368234,1.65756310835917
774f5688-bad0-4a78-b26a-7aceb353e603,0.0610024279664155,0,0.0244530186068683,0.0736307016324273,0,0.126961245613265,0,0.0258590166838919,0.183128061705389,0,0.0546432978153674,0.0628821888266182,0.0919363066946779,0.223979662246489,0.0564375005108643,0.0232253927601281,0.225111536520208,0,0,0.00185257660830512,0.308474111554839,0.282561749683508,0,0,0.602737132512419,0.839962612419641,1.82613879542926
a95ecb1b-9dd9-4916-9b73-b967278f3d85,0.132216958393725,0,0.036841745742937,0.0252548778445305,0,0.315844213039818,0,0.0208210646499855,0.0881872907544583,0,0.00738473814136673,0.25553475790269,0.0898998319275169,0.279900879099395,0.123751277675503,0.0104806482002227,0.443468500758756,0,0,0,0.337542420827598,0.136824327474021,0.0148258271812872,0,0.723322976416737,0.775457157718292,2.31877935961381
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f,0.203936533841628,0,0,0.0825111679502157,0,0.122353914989883,0.0107826424239486,0.0616030564716785,0.140775297142985,0,0.029476342985764,0.139509713402045,0.187619365376569,0.133103867333182,0.0197510179648643,0,0.180187318775472,0,0,0.00503855389895664,0.368331891086925,0,0,0,0.610188037941949,0.818626986675709,1.68498068364412
698e64da-61aa-4d7b-9f33-21d627cb4721,0.285039039272794,0,0.207614844822751,0.120758309804773,0,0.332967028769952,0,0.113761904263962,0.167084441147438,0.0080133754361079,0.0208782389484542,0.380693111189945,0.212300320326243,0.177076958796032,0.0746455365013104,0.00944672937281971,0.116717014956821,0,0,0,0.563569279389853,0.181822827303252,0,0,0.802493406092717,0.736083978325686,2.97238896030251
039eaafb-c311-45ff-9df7-30c1b0bab00a,0.140857177121085,0,0.0300714735282031,0.0149006449966346,0,0.135156615206002,0,0.0333100293586767,0.0501915636742471,0,0.00776248505230907,0.184188534407724,0.032525757659195,0.341002509187919,0,0,0.236061784294111,0,0,0.0186325681039341,0.237194284067022,0,0.318894458241461,0.028,0.218404242425723,0.986128821475628,1.78074988489852
6e8eeaae-cc26-4db8-85f6-5c975b06bf45,0.15112427663917,0,0.161779114567891,0.101589192962563,0,0.208216655009026,0.0141354401206102,0.029821478033806,0.0505187971168087,0,0.00884525862660416,0.071181713620931,0.112385498871343,0.276610353022373,0.0690120227116575,0,0.105489795060186,0,0.0283816115618209,0.00643283708509262,0.437238311877848,0.16237795244129,0,0,0.63139485274818,0.83006790804167,1.99514030932902
56cb5294-9156-4930-a3ab-c2607a79b65e,0.149435731094972,0,0.0341829337566507,0.0443609222922084,0,0.299771364677237,0,0.0507933858866346,0.0309372376064623,0,0.012128283615491,0.109593238676803,0.115316727669616,0.154730098144752,0.0089698651201446,0.00462512880821308,0.175673825460787,0,0,0,0.354388011875059,0,0.200165654543068,0,0.557811270629742,0.853693253445395,1.7450724092281
dede0990-1733-4473-bc48-78605f16834c,0.171371386050677,0,0.0596785075168819,0.0523451745927174,0,0.130425901330097,0,0.0514948972127118,0.112584147836895,0,0.016039786384706,0.219104706368709,0.043341111220926,0.182692390799968,0.00299970824573845,3.07065140295702e-05,0.165073010164854,0,0,0.00315349196190332,0.433207375034746,0,0.193765323118182,0,0.477006589607831,0.889635618515439,1.83730762435374
