names,scores,logfoldchanges,pvals,pvals_adj
KRTCAP2,11.65369,0.5046404,2.1973223881417523e-31,5.201486137402924e-29
NDUFA6,11.629281,0.5444429,2.925495057170586e-31,6.775370775781989e-29
PDIA3,11.628186,0.50530094,2.963270634391091e-31,6.775370775781989e-29
SNRPB,11.62677,0.4934993,3.0128381127022854e-31,6.775370775781989e-29
SNRPD3,11.596462,0.53142005,4.294668966635372e-31,9.34644651077598e-29
MAPRE2,11.579255,0.53218395,5.250015441647105e-31,1.1244199738753078e-28
TNFRSF1B,11.525423,0.5182249,9.822805430859802e-31,2.0709236512279893e-28
ARHGDIA,11.504219,0.483512,1.25620624653055e-30,2.6076909052979557e-28
SERBP1,11.500038,0.49200547,1.3185670919899274e-30,2.695670571548498e-28
AUP1,11.436094,0.5383076,2.760345550563584e-30,5.559006345336483e-28
XRCC6,11.382306,0.50380224,5.1227177323719405e-30,1.0164827994543321e-27
VPS37B,11.373887,0.5232389,5.6418156543184184e-30,1.10326113947418e-27
VDAC1,11.348808,0.53962094,7.518032897940964e-30,1.4491545413131062e-27
SLA2,11.344804,0.5857038,7.870220457774683e-30,1.4956744315035748e-27
SLC25A3,11.2754345,0.49531,1.7351938622871052e-29,3.2072562717588923e-27
NUCB1,11.243565,0.55405784,2.491167634020267e-29,4.481776651444728e-27
EIF5A,11.170463,0.4789832,5.688414093317118e-29,1.0099180442253667e-26
ANXA11,11.147234,0.4728329,7.386685708267347e-29,1.2943967566448224e-26
CCNI,11.143405,0.49262795,7.71132675848977e-29,1.3339606660551598e-26
RHOF,11.124047,0.49126792,9.582366498584915e-29,1.636643938802611e-26
SLC9A3R1,11.101067,0.47476548,1.239550691137478e-28,2.0906571844397492e-26
PTGES3,11.08671,0.4725708,1.4554329072314166e-28,2.4244637305275932e-26
COX5A,11.052511,0.4819028,2.131662296899051e-28,3.4653637797661316e-26
UQCRFS1,11.024784,0.4996107,2.902148971698952e-28,4.661749532754043e-26
HCLS1,11.023268,0.4591385,2.951446616767764e-28,4.685161082358523e-26
NR3C1,10.960066,0.5069236,5.9456378405483465e-28,9.328429230525446e-26
CALM3,10.955419,0.47496372,6.258848962442168e-28,9.706971155199102e-26
MAGOH,10.911465,0.48381564,1.0160541401227565e-27,1.557911194622313e-25
P4HB,10.84767,0.4668313,2.0457411046091768e-27,3.1014814297181595e-25
PFN1,10.8249035,0.3479463,2.623567471347678e-27,3.933310654543802e-25
WAS,10.803914,0.47204706,3.298381493177139e-27,4.785490482520338e-25
FKBP1A,10.801429,0.48746234,3.388871192532988e-27,4.855807935726592e-25
NOL7,10.800621,0.6024758,3.418822751752955e-27,4.855807935726592e-25
HNRNPF,10.786288,0.4584513,3.9960300781122695e-27,5.616503525413423e-25
CCT7,10.783442,0.5568646,4.121706410246302e-27,5.733421092108592e-25
TPI1,10.7749605,0.4861732,4.519744217715492e-27,6.222949870370933e-25
EWSR1,10.772962,0.47497794,4.618998062806637e-27,6.295367763782824e-25
UBE2B,10.760175,0.46547905,5.306930034955911e-27,7.160640696166011e-25
VCP,10.751499,0.48644003,5.8306255606366414e-27,7.789369375214872e-25
CSNK2B,10.737054,0.48748446,6.818537178157392e-27,9.019855112242912e-25
EIF4H,10.718507,0.5012594,8.333780101246882e-27,1.0917251932633416e-24
PCBP2,10.697156,0.46218815,1.0495050930243708e-26,1.3486640209693176e-24
SDF4,10.658043,0.48614624,1.5992691874458e-26,2.0357489760571867e-24
ARPC1B,10.655202,0.4569211,1.648870132782913e-26,2.0792714674429763e-24
TOMM5,10.645859,0.6149698,1.8229571074671444e-26,2.2775148380605722e-24
SASH3,10.609065,0.519376,2.704418314460109e-26,3.347772139175252e-24
MLF2,10.591517,0.55672765,3.262588475729655e-26,4.002009663910931e-24
PSMA5,10.579289,0.48103344,3.717681830972291e-26,4.519160445523345e-24
RAB5C,10.559673,0.4785106,4.5825220234449154e-26,5.520711576994844e-24
ANP32B,10.5440235,0.4699584,5.413249792046828e-26,6.463803490627244e-24
IFITM2,10.530372,0.39210865,6.258680386200989e-26,7.407752144825435e-24
BSG,10.525217,0.44017637,6.610887053860243e-26,7.756582523281414e-24
SQSTM1,10.508414,0.44528934,7.901076505871636e-26,9.190450456355688e-24
UBE2V1,10.483653,0.7874882,1.0269853338153276e-25,1.18436864180942e-23
BANF1,10.472216,0.45718017,1.1589811782547055e-25,1.3167414378368706e-23
SELPLG,10.471285,0.47226655,1.170439934063029e-25,1.3167414378368706e-23
ARHGAP9,10.471235,0.44715413,1.1710440416543726e-25,1.3167414378368706e-23
THRAP3,10.467237,0.453921,1.2215540699402271e-25,1.362184220306073e-23
MYH9,10.4546175,0.4444394,1.3956031335729802e-25,1.5435141869918214e-23
PSMD8,10.442104,0.4405412,1.5924116333965151e-25,1.7468626153999333e-23
RAC1,10.417134,0.44158188,2.070984017799261e-25,2.253531238077857e-23
ANXA6,10.400433,0.44177783,2.468093396672097e-25,2.6641587361037285e-23
SRP9,10.395297,0.43829072,2.6047296112668556e-25,2.789334654351086e-23
PSME2,10.364174,0.4507978,3.608624442898868e-25,3.833950362837356e-23
DAZAP2,10.361345,0.4388438,3.7169682960012125e-25,3.918207282651903e-23
NDUFB11,10.349374,0.4342593,4.212318465441823e-25,4.4059545003260863e-23
ENO1,10.3248415,0.44744426,5.440860699699514e-25,5.647194878541965e-23
TMEM50A,10.312898,0.4259662,6.161481828005765e-25,6.346326282845939e-23
ADRM1,10.297264,0.48424527,7.249367235013597e-25,7.410281219851398e-23
BHLHE40,10.287758,0.4736505,8.001784591313748e-25,8.117900713578677e-23
SHISA5,10.27876,0.4567028,8.785046838803944e-25,8.846017686267284e-23
IFITM3,10.240299,0.4610829,1.3083084504093245e-24,1.3076300682498529e-22
C12orf57,10.235542,0.43238735,1.3742369179504033e-24,1.363424906904764e-22
APBB1IP,10.230097,0.46712255,1.4537434695386637e-24,1.4317781485025686e-22
NUDC,10.222613,0.48463327,1.5704844201238391e-24,1.5355468319370261e-22
EZR,10.20795,0.45754236,1.8268474505517417e-24,1.7733563057765935e-22
UBE2I,10.204014,0.43276012,1.902432800342919e-24,1.833537555359072e-22
ENSA,10.172645,0.4249917,2.6267712760605472e-24,2.5136897041053165e-22
EIF5,10.157394,0.43531,3.071748472356474e-24,2.9188100096835144e-22
NDUFB9,10.149899,0.4333218,3.317095403569225e-24,3.1298998797454237e-22
M6PR,10.141165,0.4738176,3.6274929911557096e-24,3.399011314559999e-22
PRDX6,10.133772,0.45292103,3.9125876020860234e-24,3.6408651389618427e-22
CCT4,10.107294,0.4414905,5.1281107065814244e-24,4.739287518075559e-22
NDUFA12,10.1008215,0.4355599,5.478136971020303e-24,5.028333479590269e-22
LAMP1,10.08544,0.43425775,6.4077515146166086e-24,5.8418777828866145e-22
PARK7,10.064519,0.43325168,7.92735822384497e-24,7.135914388190207e-22
NONO,10.06445,0.47297,7.932907123905218e-24,7.135914388190207e-22
