names,scores,logfoldchanges,pvals,pvals_adj,Overlapping_Ref_Blood_Subtypes
NDUFB2,7.3732862,0.33293864,1.6647252145873154e-13,2.7062816048706803e-12,NK1C
HINT1,7.371926,0.35454315,1.681804801842651e-13,2.727475022988328e-12,"NK2, NKint"
NCR3,7.3074374,0.3254486,2.722853529542448e-13,4.257179915888325e-12,NK1C
LIMD2,7.2522235,0.35401034,4.099845266933849e-13,6.250758439179482e-12,NK1B
LITAF,7.227475,0.35454932,4.920566077674099e-13,7.401694323975097e-12,NK1A
TCF25,7.219346,0.2921922,5.223823216556399e-13,7.822979651608822e-12,NK1B
GZMM,7.190277,0.33847782,6.466000520279382e-13,9.483233154361923e-12,"NK1A, NK1B, NK1C"
CAP1,7.1155887,0.32319194,1.1143614060440822e-12,1.5827451001845056e-11,NK1C
CTSD,7.077871,0.32530594,1.4638582699748857e-12,2.053205783448143e-11,NK1C
HLA-DPA1,7.0101175,0.28535214,2.381183691452025e-12,3.2290765375640366e-11,NK3
DSTN,6.8771286,0.2715862,6.107092215994058e-12,7.77386747834036e-11,NK3
EMP3,6.785471,0.31972632,1.1570824784691607e-11,1.4103445241178309e-10,"NK1C, NK3"
KLRC3,6.7695885,0.55520564,1.2914926479192194e-11,1.5685067775314154e-10,NK3
PPDPF,6.7412243,0.33316547,1.5705772331955524e-11,1.8921248756703203e-10,NK3
APOBEC3G,6.7096467,0.29498562,1.9509612255374583e-11,2.325469948425524e-10,NK3
ZEB2,6.688635,0.27349797,2.252618739231686e-11,2.666191635829222e-10,NK1B
LCK,6.6729445,0.27129537,2.5072149920719227e-11,2.9519940565468105e-10,NK3
ICAM2,6.600165,0.32822073,4.1070087608887305e-11,4.66463545544374e-10,NK1A
CCND3,6.566821,0.30066326,5.1400700496603686e-11,5.755598770130071e-10,NK1C
NPM1,6.512524,0.36035937,7.389829417558773e-11,8.060708838409098e-10,NK2
CD48,6.4749618,0.28898925,9.483587075419936e-11,1.0104268841670598e-09,NK3
UTRN,6.444901,0.25416842,1.1567590866500433e-10,1.215588033969551e-09,NK1B
IL2RB,6.413985,0.29917628,1.417641899613857e-10,1.477084336022376e-09,"NK2, NKint, NK1B"
NSMCE1,6.220611,0.36242762,4.952221198649351e-10,4.800310390328713e-09,NK2
FXYD5,6.1336365,0.31376088,8.589255813282953e-10,8.104533474729155e-09,NK2
CX3CR1,5.948991,0.31482336,2.698006689983389e-09,2.370065382027726e-08,"NK1B, NK1C"
HNRNPA2B1,5.9165897,0.33336,3.286853872330078e-09,2.85573208624274e-08,"NK1B, NK1C"
LGALS3,5.800624,0.42361432,6.606861766859713e-09,5.4960780407051855e-08,NK3
IRF1,5.782223,0.284974,7.371985064971385e-09,6.072661445766723e-08,"NK1A, NK1B"
S100A10,5.6598697,0.2876131,1.5148795427116754e-08,1.1960368443422258e-07,NK3
