names,scores,logfoldchanges,pvals,pvals_adj
VCP,7.9546547,0.46448904,1.796317941163781e-15,2.223643851387422e-13
SF3B2,7.923837,0.41777474,2.3029073529135436e-15,2.824829901169313e-13
COX5A,7.9039,0.4327122,2.703095464368551e-15,3.2858438829481854e-13
CD38,7.8999934,0.51731825,2.7891802285905695e-15,3.3602150736046925e-13
STRAP,7.869225,0.43828353,3.5684544352198546e-15,4.260987229594823e-13
KRTCAP2,7.7674356,0.44970015,8.009094426201609e-15,9.479536060766518e-13
HCLS1,7.7594543,0.40472874,8.529554670463155e-15,1.0007763579874727e-12
PDE4D,7.750011,0.48191512,9.18845033319013e-15,1.0687910374632275e-12
C1orf43,7.7392783,0.53564155,9.998262969774178e-15,1.1530475406082305e-12
UAP1,7.730152,0.56558555,1.0741825137261065e-14,1.2283003947208775e-12
SLC9A3R1,7.723731,0.41097376,1.129729228919996e-14,1.2809610492283619e-12
SLC16A3,7.718417,0.5638109,1.1778314205737056e-14,1.3243732798167507e-12
ZYX,7.7078657,0.5608838,1.2793923386159108e-14,1.417357434479223e-12
PNRC1,7.707652,0.3611956,1.2815356629842525e-14,1.417357434479223e-12
PRDX5,7.6888494,0.40035975,1.4846390961519946e-14,1.6252059430516574e-12
ORAI1,7.6652856,0.51013374,1.7843364824069534e-14,1.910797790247383e-12
PDIA3,7.66062,0.3863649,1.8503758779599746e-14,1.965915096166452e-12
TUBA4A,7.6525855,0.42709526,1.9697792502831115e-14,2.067283613227215e-12
DCXR,7.6521525,0.45830134,1.9764291566464888e-14,2.067283613227215e-12
TMBIM6,7.6481175,0.4218738,2.0394293676041605e-14,2.1167708043909955e-12
TPM4,7.642447,0.42366365,2.1313214156188658e-14,2.195261058087432e-12
NDUFB11,7.635951,0.40310508,2.2415984723568372e-14,2.2913551657205155e-12
CNN2,7.586571,0.50246227,3.2848178319736116e-14,3.3324847373548826e-12
PKM,7.575672,0.46629947,3.572734023333703e-14,3.597529863943407e-12
NAPA,7.5592523,0.4780362,4.0539252268508814e-14,4.0518231915480695e-12
LCP1,7.550005,0.3897395,4.352409818546775e-14,4.318166594239091e-12
BANF1,7.547457,0.4269983,4.4383834188299584e-14,4.371321713158586e-12
PRKCH,7.537199,0.3832069,4.801732750118576e-14,4.694911594010865e-12
APBB1IP,7.5206614,0.41233087,5.4499774551914855e-14,5.290398978625807e-12
FLNA,7.4949975,0.38469145,6.629955950497953e-14,6.3898568314334915e-12
SF3B4,7.493811,0.5783337,6.690187368121078e-14,6.402177174330334e-12
TAP1,7.490842,0.41303512,6.843321398714815e-14,6.474844371090586e-12
CALM3,7.4904823,0.40315703,6.862096976698686e-14,6.474844371090586e-12
SDF4,7.488577,0.4193712,6.962440526788495e-14,6.523903474163692e-12
SLBP,7.481176,0.5477667,7.366038352234832e-14,6.854479688738248e-12
MSN,7.47318,0.3837842,7.827964828764125e-14,7.1852196894227435e-12
NDUFB9,7.407757,0.4069758,1.2845377532177278e-13,1.171099182713973e-11
PPP4C,7.3997884,0.43707046,1.3640158007797666e-13,1.2352124295249256e-11
PSME2,7.365977,0.3821437,1.7585453974137845e-13,1.581870203153613e-11
CD7,7.355353,0.318997,1.9042315551411522e-13,1.6903813403631293e-11
HNRNPAB,7.320728,0.46272236,2.4662968854793464e-13,2.175015939592995e-11
PRF1,7.317447,0.30375707,2.527321437650119e-13,2.2143602700138345e-11
LSP1,7.3092847,0.35623354,2.685680656794387e-13,2.3379283291694623e-11
EIF5,7.303349,0.3880364,2.806921901071188e-13,2.4278075135354833e-11
ENO1,7.3020372,0.38430426,2.8344270998484754e-13,2.4359824750481197e-11
IGFBP7,7.296794,0.39202353,2.947055318548295e-13,2.516747937542541e-11
PXN,7.288553,0.4472992,3.133011035967847e-13,2.6587243967493182e-11
POLD4,7.2721734,0.66171944,3.5374900038000933e-13,2.9832095388296664e-11
ARID5A,7.2439084,0.41868445,4.3593551488130394e-13,3.653464535585984e-11
ILF2,7.2322664,0.43466246,4.749986933921694e-13,3.956269981444779e-11
MYH9,7.2301164,0.38620442,4.825799480743773e-13,3.994755361575198e-11
C1orf21,7.2159753,0.39323556,5.354882421157359e-13,4.3789956671925e-11
PPDPF,7.211547,0.3637989,5.531982228375436e-13,4.4705138449240154e-11
PSMB8,7.21152,0.37835923,5.533060194933007e-13,4.4705138449240154e-11
EZR,7.175408,0.3888286,7.209180985024966e-13,5.790088037556063e-11
MAT2B,7.1685762,0.42134142,7.57817573038456e-13,6.050433439649637e-11
NR3C1,7.162826,0.39534932,7.903067069417876e-13,6.238577182914461e-11
GOLPH3,7.16277,0.5703196,7.90629732660174e-13,6.238577182914461e-11
GZMB,7.1526666,0.3034732,8.510821013229299e-13,6.67654115880831e-11
OTUB1,7.1505947,0.44728014,8.640286767752232e-13,6.738924240305253e-11
MGAT1,7.1467056,0.46405947,8.888528050782557e-13,6.89269591892006e-11
ODC1,7.137094,0.5708515,9.53244812983557e-13,7.349789863764078e-11
CCT2,7.1318803,0.4531577,9.900686817268424e-13,7.59033904689789e-11
SPN,7.1250925,0.37232643,1.0401064434706022e-12,7.928901831496518e-11
ARRB2,7.1202235,0.44026235,1.0775201016359872e-12,8.122334486801327e-11
HMGN4,7.1110234,0.88269126,1.1518541151818429e-12,8.63442643119367e-11
ATP6V0D1,7.099112,0.47205272,1.2556103504176052e-12,9.36019362330649e-11
IL2RB,7.0981555,0.36852205,1.2643281028881884e-12,9.373395105643036e-11
ROMO1,7.090827,0.4415852,1.333128749760762e-12,9.829456951104896e-11
SLC44A2,7.088058,0.447327,1.3600695186692134e-12,9.973596747502009e-11
RAN,7.0748672,0.37168398,1.495919066519044e-12,1.0910505926779168e-10
HNRNPF,7.0733066,0.37320125,1.512846913974636e-12,1.0974646994763315e-10
LRP10,7.071242,0.43804672,1.53553059767628e-12,1.1079633344623554e-10
AURKAIP1,7.031048,0.40249932,2.0498828839825136e-12,1.465391919493256e-10
SASH3,7.0308623,0.42966118,2.0526130051450777e-12,1.465391919493256e-10
CCT6A,7.0262127,0.43848595,2.1221491119127774e-12,1.507060945633637e-10
RNF7,7.0143967,0.3844573,2.30943072327789e-12,1.6314737565020195e-10
ANAPC11,7.008044,0.40368178,2.4167307091756847e-12,1.698382680151433e-10
ITGB2,6.986652,0.32116106,2.815231452077719e-12,1.9681822789059408e-10
ELOVL1,6.9847646,0.6485128,2.8533450578100763e-12,1.9845456115995544e-10
SLA,6.9744577,0.3684017,3.0705328442211412e-12,2.124651264978249e-10
MLF2,6.971239,0.48947585,3.141616324201686e-12,2.1627463807374157e-10
CTSC,6.9641523,0.35369405,3.3038731697931686e-12,2.262901557361382e-10
DDOST,6.9572525,0.4005424,3.469728181339732e-12,2.3644970884251014e-10
RBM4,6.942659,0.44467115,3.84788117216973e-12,2.5959730328043084e-10
STIP1,6.9361615,0.56386334,4.0289736398093174e-12,2.7046239463655285e-10
HNRNPUL1,6.934851,0.38520542,4.066487268075461e-12,2.716292708323871e-10
KIR3DL1,6.9274254,0.8078617,4.285681681572198e-12,2.8486060556381116e-10
TES,6.919263,0.37790465,4.539998307665799e-12,3.0028528022222855e-10
SYAP1,6.9037924,0.36872497,5.0632315877255825e-12,3.332594332350307e-10
ANXA11,6.900891,0.3602144,5.1677503110197375e-12,3.384876453717928e-10
BRD2,6.884732,0.35762963,5.789646802445236e-12,3.7738987587146656e-10
PITPNC1,6.8769407,0.409126,6.115158147715689e-12,3.9669148503426823e-10
ADRM1,6.8714156,0.42350823,6.356778495396361e-12,4.103924030544646e-10
PSMA7,6.8549314,0.36828068,7.134673600908323e-12,4.5841976617645715e-10
UQCRFS1,6.8541503,0.38100907,7.173758663232431e-12,4.587465670284132e-10
MAP3K8,6.8465376,0.3677757,7.565886055422054e-12,4.81540096914197e-10
COX6A1,6.8442163,0.36087543,7.689560911804345e-12,4.871138280890893e-10
ARHGAP9,6.832013,0.35961133,8.373127721454858e-12,5.25481917886467e-10
ICAM2,6.827682,0.39495838,8.629769214479244e-12,5.390809074581872e-10
CCT4,6.824509,0.3861617,8.822650452667577e-12,5.485899657043484e-10
FCGR3A,6.800201,0.31288698,1.0447332797550137e-11,6.46632391914422e-10
CLTA,6.7762895,0.3800193,1.2330171511875266e-11,7.596849507293743e-10
YPEL5,6.7689977,0.35044575,1.2967774990827872e-11,7.95337217960184e-10
NR4A2,6.759192,0.35928124,1.3876363405748113e-11,8.472116354468747e-10
BAX,6.7477927,0.36845112,1.5011093849078784e-11,9.123634653406308e-10
LRRFIP1,6.7452817,0.34849584,1.527302709357553e-11,9.241208725274198e-10
TUBB4B,6.742927,0.36068898,1.5522730589831538e-11,9.350366243240936e-10
AHSA1,6.736749,0.45631754,1.6196927813027268e-11,9.713117643607864e-10
ABI3,6.7341113,0.36001313,1.6493473201120592e-11,9.847187340828326e-10
PHB2,6.7280107,0.4480971,1.7199855565551802e-11,1.0194418370396756e-09
NDUFB10,6.727788,0.37069154,1.722617200363492e-11,1.0194418370396756e-09
TUBB,6.7258444,0.39951107,1.7457731456737655e-11,1.028633932514241e-09
IMP3,6.696863,0.41938388,2.1294099172005364e-11,1.2492229570776887e-09
BSG,6.6943917,0.34884638,2.1657057315224082e-11,1.2650159062957514e-09
EIF4B,6.6639357,0.35029224,2.6659056387784956e-11,1.5372249907708648e-09
COX8A,6.647114,0.3523675,2.9889640925770957e-11,1.7161741489847979e-09
HSH2D,6.6386223,0.36204594,3.1662856610948373e-11,1.810283577336976e-09
SERPINB1,6.636596,0.35666645,3.210098692319021e-11,1.827589099386521e-09
ATXN10,6.6344266,0.53938454,3.2576601434946457e-11,1.8468742989988761e-09
EIF1AX,6.633192,0.36225003,3.2850439115798936e-11,1.8546065899141215e-09
SUPT4H1,6.626077,0.3951373,3.4472543544976876e-11,1.9380751252182207e-09
UCP2,6.623918,0.34481862,3.498007080674028e-11,1.958448528611397e-09
NFE2L2,6.6129007,0.34852558,3.768606631371868e-11,2.1012317883099427e-09
ENSA,6.610521,0.34566587,3.829698699881871e-11,2.126507183436464e-09
ARF4,6.6063046,0.36912555,3.940311989180997e-11,2.178960232377836e-09
FKBP8,6.597025,0.3572266,4.194896737828686e-11,2.3102751707560185e-09
PNPLA2,6.59313,0.48137638,4.306484851405052e-11,2.3620894349596895e-09
ENC1,6.5916815,0.6805611,4.3487239992516555e-11,2.375600523153951e-09
RHOG,6.5906734,0.3622415,4.3783541085072985e-11,2.3821424187939105e-09
SERTAD1,6.589776,0.36948544,4.4049014643886344e-11,2.386961263413488e-09
SFPQ,6.5884485,0.34227812,4.444466691023161e-11,2.3987675624790205e-09
IFITM3,6.586166,0.3722729,4.513301502221832e-11,2.4262142298597284e-09
LAPTM5,6.581634,0.36053255,4.653053565570521e-11,2.491414752390597e-09
CNBP,6.568757,0.34664154,5.073691140212931e-11,2.6952486045233496e-09
NDUFV1,6.565601,0.3908956,5.182352415908538e-11,2.7421757312883883e-09
UBE2J1,6.5644836,0.4599019,5.2213476284409494e-11,2.752017326193505e-09
CAPZB,6.562534,0.3525534,5.290098022335277e-11,2.777404381921008e-09
NUDC,6.5615616,0.40699825,5.324725560524995e-11,2.784748914269913e-09
MAT2A,6.5576663,0.39949316,5.4656285644690555e-11,2.8474025567714662e-09
ANXA6,6.538366,0.3438641,6.219463282650798e-11,3.2276622335695083e-09
C12orf57,6.536297,0.36059606,6.30607023282238e-11,3.26006918204875e-09
PPP1CA,6.5233107,0.35204095,6.877210959784003e-11,3.5417636442887616e-09
SMAP2,6.5174546,0.36022264,7.151048494099601e-11,3.6687869707561184e-09
UQCRH,6.510714,0.34419766,7.479443612472578e-11,3.822732297844412e-09
C18orf32,6.5098166,0.58084637,7.524264998350685e-11,3.8311285895375766e-09
NR4A3,6.496017,0.39263105,8.247427815564912e-11,4.183554267496893e-09
ARIH2,6.4756203,0.39583382,9.442334411865846e-11,4.767827478296247e-09
CALM1,6.4751797,0.28488168,9.469930809926586e-11,4.767827478296247e-09
CCT5,6.4685407,0.4525534,9.895392373039905e-11,4.963514099978715e-09
CD37,6.4660587,0.35096908,1.0059184317891107e-10,5.026984222270544e-09
NDUFB6,6.4619417,0.44282,1.0336803778738975e-10,5.146660272565498e-09
SRSF9,6.457214,0.3443066,1.0664802908493705e-10,5.29044800162888e-09
TRMT112,6.456258,0.33530185,1.0732386024181445e-10,5.3044719642593495e-09
TXN,6.439692,0.36003494,1.1971608753055351e-10,5.895361930838534e-09
DDX39A,6.409712,0.4332611,1.4579491317057667e-10,7.1534936851294216e-09
SUN2,6.4013753,0.33943763,1.5398351281383853e-10,7.527896878250447e-09
SEMA4D,6.3952727,0.38929743,1.6026088366464052e-10,7.806498567823085e-09
TMEM50A,6.3927426,0.33105236,1.6293641874293679e-10,7.908277331289375e-09
ADIPOR1,6.3900604,0.5646816,1.6582010418130032e-10,8.019393067090628e-09
LMAN2,6.379067,0.33604595,1.7817010526616252e-10,8.585890108415467e-09
SOD1,6.375249,0.3359119,1.8266626923336935e-10,8.771231212689868e-09
FUNDC2,6.3739815,0.4227082,1.8418298757989342e-10,8.799051887120833e-09
ARF1,6.3736763,0.3442375,1.845498913551616e-10,8.799051887120833e-09
TRAPPC1,6.3714185,0.3303181,1.8728762231012388e-10,8.8981404501074e-09
CD55,6.3656387,0.3433186,1.9447844051666718e-10,9.193332756664468e-09
CLTB,6.3653355,0.39739567,1.948634972508736e-10,9.193332756664468e-09
TMBIM1,6.36468,0.43862867,1.95697838612912e-10,9.200525910815407e-09
UPP1,6.3564844,0.37216002,2.0642323074205772e-10,9.671071709731198e-09
GHITM,6.34331,0.33291286,2.2488035022293762e-10,1.0499344517502067e-08
INSIG1,6.335007,0.44864163,2.373300165604671e-10,1.104239280500132e-08
EPC1,6.3290787,0.33011913,2.466292161620296e-10,1.1423595804143102e-08
BUD31,6.328712,0.34554067,2.472163325287027e-10,1.1423595804143102e-08
SLC7A5,6.3242583,0.54321456,2.544516331768785e-10,1.1717801660258095e-08
CHCHD2,6.3224516,0.34294778,2.574455435879703e-10,1.1815349386505045e-08
PRDX6,6.3213625,0.35188523,2.592667828486834e-10,1.1858598986363678e-08
ITGB7,6.319609,0.37985492,2.622259727545668e-10,1.1953429224247869e-08
SF3A1,6.3169255,0.47722492,2.6681824492100296e-10,1.2121813396360582e-08
MAP1LC3B,6.3158083,0.3296642,2.6875286763174845e-10,1.2168733030050944e-08
SCAMP2,6.3117647,0.4464918,2.7587153643127916e-10,1.2449279736010867e-08
PTGES3,6.309734,0.33517635,2.795155626662893e-10,1.2571678290187472e-08
GABARAPL1,6.303808,0.36775887,2.9041960916428825e-10,1.301871025399914e-08
EFHD2,6.2909594,0.33719012,3.1550978202681654e-10,1.4093363393675315e-08
MDH2,6.290482,0.35850295,3.1648181340573784e-10,1.4093363393675315e-08
P2RY8,6.283563,0.50652426,3.3089979927366863e-10,1.4652679696593807e-08
YWHAQ,6.2747226,0.32680222,3.5025823287682696e-10,1.539424865214015e-08
RAD23A,6.261694,0.38453966,3.808179035105804e-10,1.66830388703515e-08
USP11,6.2588334,0.50905,3.878676605115648e-10,1.693688784233833e-08
NDUFS6,6.2534943,0.34997302,4.0136890112858004e-10,1.746990510621913e-08
SEC13,6.2447085,0.5461315,4.2459140362115804e-10,1.8421259836206705e-08
KLRC3,6.242968,0.6878477,4.293446893137515e-10,1.8567781708046313e-08
CCT3,6.240644,0.36981556,4.3577285481870614e-10,1.8785569105651126e-08
GZMM,6.2336087,0.34370843,4.558105930535628e-10,1.9554218170560534e-08
RNF149,6.2333717,0.335245,4.565017952810026e-10,1.9554218170560534e-08
KRT10,6.2318344,0.33440363,4.610044290875266e-10,1.968459734708227e-08
MAF1,6.22459,0.35741797,4.828171176366045e-10,2.0550950688551118e-08
UBE2B,6.2240653,0.3281231,4.844352560550469e-10,2.0554983993555812e-08
LAT2,6.2201114,0.36585718,4.96801813453637e-10,2.101362654836967e-08
SCML4,6.214258,0.4765014,5.156771847184779e-10,2.174385079189507e-08
CANX,6.1983514,0.34767866,5.705767073282318e-10,2.398377418062253e-08
MYADM,6.197756,0.3879272,5.727385336883945e-10,2.3999878990861826e-08
ADAM8,6.197134,0.37014988,5.750052131929029e-10,2.4020264215516533e-08
CDK17,6.194492,0.3857593,5.847339089743186e-10,2.435127973392124e-08
CSRNP1,6.192766,0.3660028,5.911741798413449e-10,2.4543732949536204e-08
BHLHE40,6.1891146,0.33282545,6.050317216728687e-10,2.504200313046631e-08
IDS,6.186739,0.32824472,6.142160104013913e-10,2.5344393358856187e-08
TUBA1B,6.1807218,0.34555727,6.380915722811801e-10,2.6249297514603542e-08
IQGAP1,6.162036,0.31865644,7.181562621167998e-10,2.945313812991483e-08
PAIP2,6.159436,0.31524774,7.300437697945297e-10,2.9849941169204814e-08
VDAC2,6.155447,0.3415731,7.486602939114898e-10,3.051865059138288e-08
TMED10,6.154551,0.32681626,7.529048707144157e-10,3.059923319442654e-08
CSDE1,6.1523643,0.3266611,7.633638015612961e-10,3.087495029686046e-08
RAB5C,6.152177,0.33388597,7.642654264545611e-10,3.087495029686046e-08
CCDC124,6.1467524,0.496521,7.908544770530832e-10,3.1853729727991795e-08
RGCC,6.1422386,0.4115586,8.136654461600136e-10,3.2591310767722e-08
PAK2,6.142174,0.35150224,8.139977565198483e-10,3.2591310767722e-08
ELOVL5,6.1335187,0.4295345,8.595622737242171e-10,3.431382769041675e-08
XRCC5,6.1326036,0.32876632,8.645231601314906e-10,3.4410061945882603e-08
RPN2,6.1313143,0.35816884,8.715605572736417e-10,3.458813705674485e-08
UBE2E3,6.1297655,0.4038935,8.800873567806653e-10,3.48241017743153e-08
SCAND1,6.128666,0.32140124,8.86188993221752e-10,3.4963006098073394e-08
SLC3A2,6.1274357,0.37492156,8.93067509976239e-10,3.513166155133934e-08
NOSIP,6.115649,0.38212565,9.616467465000579e-10,3.761014362471096e-08
