names,scores,logfoldchanges,pvals,pvals_adj,Overlapping_Ref_Blood_Subtypes
LIMD2,5.441478,0.29717195,5.2840344402599676e-08,1.3154515996757883e-06,NK1B
LGALS1,5.271019,0.2849342,1.3566844773503002e-07,3.0509572754812666e-06,"NK1C, NK3"
HLA-DPA1,5.2592444,0.26815593,1.4464855438717565e-07,3.2260213956134894e-06,NK3
CTSD,5.246042,0.30191138,1.554016579590889e-07,3.4374337226917803e-06,NK1C
AKR1C3,5.094639,0.27857572,3.494067189796614e-07,7.04715225589323e-06,"NK1A, NK1B, NK1C"
PIK3R1,5.0452075,0.25516334,4.530290991371028e-07,8.884769817815303e-06,NKint
S1PR5,5.0356464,0.26673624,4.76238725585319e-07,9.285966942662876e-06,"NK1A, NK1B"
CLDND1,5.0242715,0.29507878,5.053476562537399e-07,9.685590803738227e-06,NKint
ITGA4,4.968185,0.26480347,6.758246564873604e-07,1.2459598986427536e-05,NK1B
CD74,4.9424667,0.27330753,7.714032416276268e-07,1.4084633206064369e-05,"NK2, NKint"
NDUFB2,4.889276,0.2791499,1.012074635549477e-06,1.7921158868069677e-05,NK1C
ARPC5,4.7260485,0.2610522,2.2893107406879905e-06,3.686118117434732e-05,NK1C
NPM1,4.587359,0.28221327,4.488888940605036e-06,6.682616606329121e-05,NK2
IRF1,4.4994473,0.2845018,6.813039127543544e-06,9.636094019700736e-05,"NK1A, NK1B"
EIF3G,4.032441,0.25460228,5.52004797001669e-05,0.0006021180861716,NKint
SPOCK2,4.0292606,0.27447098,5.595251345072813e-05,0.0006088445677344,NK1A
ARPC3,3.8160183,0.25095722,0.0001356223997172,0.0013061763307532,NK1C
NSMCE1,3.0626612,0.26392663,0.0021937831066671,0.0141924161178956,NK2
LIME1,2.8788345,0.52760375,0.0039914762909709,0.0232945456721757,NK3
KLRC2,2.6977668,0.27449507,0.0069806340114118,0.0369767655382717,NK3
