names,scores,logfoldchanges,pvals,pvals_adj,Overlapping_Ref_Blood_Subtypes
C12orf75,3.3658032,4.883322,0.0007632114172854,0.0234207927231638,NK3
TAGLN2,3.3585236,12.136584,0.0007836002745984,0.0238957412457996,NK2
S1PR5,3.2949433,4.0211487,0.0009844150978465,0.028213496771779,"NK1A, NK1B"
PYHIN1,3.2547712,2.1000152,0.0011348378490295,0.0311567787024832,"NK1A, NK1B"
ANXA2,3.2416105,3.4875522,0.0011885633715852,0.0320821102412875,NK3
FLNA,3.2259035,11.819357,0.0012557569725853,0.0334350036235496,NK1B
TRDC,3.190073,21.03376,0.0014223689870566,0.0367605216508215,NK3
ITM2B,3.1843345,21.002518,0.0014508729762157,0.0372903363092559,NK1A
OST4,3.178332,15.819775,0.0014812503004627,0.037889780676528,NK3
UTRN,3.17389,6.366413,0.0015041067316352,0.0382937776430177,NK1B
S100A10,3.151082,22.456366,0.0016266683948744,0.0405539704781559,NK3
MIF,3.1495628,22.874681,0.0016351491405027,0.0406504072644599,NKint
HINT1,3.1157193,20.430815,0.001834968237311,0.0441459403310642,"NK2, NKint"
JAK1,3.111835,19.973455,0.0018592837125519,0.0444663971742757,"NK1A, NK1B"
TCF25,3.0987685,4.391479,0.0019432676694417,0.0460996446050869,NK1B
PDCD4,3.0878835,4.8831625,0.0020158749416653,0.0475024220879584,NK2
