Mixture	NK1A	NK1B	NK1C	NKint	NK2	NK3	P-value	Correlation	RMSE
857c31be-44ec-42bc-ba2c-5f17ac1d9a8c	0.00000000000000000	0.00000000000000000	0.50410746719113031	0.25140820209837478	0.24448433071049475	0.00000000000000000	9999.00000000000000000	0.36777661929312044	1.09718402513025048
c024ea4d-8f0e-4fba-b793-5d2e767744db	0.00000000000000000	0.00000000000000000	0.56976569981757497	0.16159637627068213	0.26863792391174290	0.00000000000000000	9999.00000000000000000	0.50435054501651733	0.99078155865662321
a37d7ef3-0840-4114-acec-ce9e29bb54e9	0.00000000000000000	0.10420833764822206	0.52291678202547343	0.12955777996518134	0.24331710036112308	0.00000000000000000	9999.00000000000000000	0.64641948268588922	0.83130784953749737
d38b6aba-7bfd-43f0-98f7-f669323e6da1	0.00000000000000000	0.00000000000000000	0.62117092408323493	0.25809780476967109	0.12073127114709398	0.00000000000000000	9999.00000000000000000	0.51171614326406445	0.97779468577721940
a854c368-6e81-4ade-9ea9-afbee1c4c448	0.00000000000000000	0.00000000000000000	0.53903871901892830	0.27711194810263640	0.18384933287843533	0.00000000000000000	9999.00000000000000000	0.47145734268158157	1.00430213798725854
ce362483-60b7-4654-b201-834c60e38690	0.00000000000000000	0.00000000000000000	0.54054622510386641	0.19401371490789693	0.26544005998823667	0.00000000000000000	9999.00000000000000000	0.55701189472774582	0.92929648889396466
0b0b23c2-dac8-45cf-ba91-913776b00a33	0.00000000000000000	0.00000000000000000	0.46462420517750730	0.23743867587380368	0.29793711894868907	0.00000000000000000	9999.00000000000000000	0.52386861626458980	0.95015346532193701
4b9da1a6-923c-4bc8-922a-620ac43e6f9b	0.00000000000000000	0.00000000000000000	0.65740643585780567	0.20506430466371497	0.13752925947847927	0.00000000000000000	9999.00000000000000000	0.58384274454554097	0.91352756180929950
ac175796-57dc-4de1-b6a2-eb71416e4c47	0.00000000000000000	0.00000000000000000	0.59857352632514538	0.24447860774831146	0.15694786592654317	0.00000000000000000	9999.00000000000000000	0.53205213837634036	0.95592028259092465
44beea06-28a7-490a-b6bb-4e023230e51c	0.00000000000000000	0.00000000000000000	0.58760106363180087	0.23875257660760538	0.17364635976059362	0.00000000000000000	9999.00000000000000000	0.47524377544496954	1.01149285668941635
bf121f27-c765-4f64-8a9f-73c30427217b	0.00000000000000000	0.00000000000000000	0.65794263364729511	0.20627111351064992	0.13578625284205492	0.00000000000000000	9999.00000000000000000	0.50672372782450259	0.99444172946443088
e0e050cc-5e2a-41fc-8394-b4816a9dc8a2	0.00000000000000000	0.00000000000000000	0.53193286596303990	0.28084153739429230	0.18722559664266786	0.00000000000000000	9999.00000000000000000	0.52987356568392618	0.94611987153810995
b36c0e8b-a9b1-46ac-8946-88e64a28ff5a	0.00000000000000000	0.00000000000000000	0.53907494987408289	0.33219804334574904	0.12872700678016810	0.00000000000000000	9999.00000000000000000	0.54278452108275665	0.92849602882061422
ad44b37b-0bd2-4289-b03f-d52858da2d0f	0.00000000000000000	0.00000000000000000	0.63271539990172665	0.27400252725670182	0.09328207284157178	0.00000000000000000	9999.00000000000000000	0.44435029085401001	1.04267347389770482
3ef3fd4b-ed5b-41e1-8096-c573cf609bd3	0.00000000000000000	0.00000000000000000	0.54335816652572322	0.24871812898626677	0.20792370448801006	0.00000000000000000	9999.00000000000000000	0.55250219904854436	0.92789718035356072
75e67bb5-098c-4b48-8f5d-badc72dc4c47	0.00000000000000000	0.00000000000000000	0.49566012318858749	0.35046028241808908	0.15387959439332347	0.00000000000000000	9999.00000000000000000	0.57552038327129107	0.88888921032958124
387e08dc-a77e-4dd7-939c-1e6f515e692d	0.00000000000000000	0.00000000000000000	0.36783846421982608	0.31250808986124423	0.31965344591892975	0.00000000000000000	9999.00000000000000000	0.55132658110254518	0.90693357900495852
01f6286b-8422-4f16-bec3-871c86396790	0.00000000000000000	0.00000000000000000	0.66309257942476274	0.14779871010485376	0.18910871047038344	0.00000000000000000	9999.00000000000000000	0.52808496371077907	0.98118603160666618
80afd34a-fc20-46be-85c5-088951628194	0.00000000000000000	0.00000000000000000	0.62656043989283994	0.33057669870069317	0.04286286140646688	0.00000000000000000	9999.00000000000000000	0.48992378765720440	0.99167889536904286
e17707f9-a0db-473f-9dc6-608b62e74689	0.00000000000000000	0.12133907335072304	0.41757069926254392	0.15060079337144672	0.31048943401528628	0.00000000000000000	9999.00000000000000000	0.69754080212302061	0.75718780809266073
cd215363-3f4a-4928-9dbb-60735f4c27ce	0.00000000000000000	0.00000000000000000	0.61037592150413722	0.18504948592210008	0.20457459257376262	0.00000000000000000	9999.00000000000000000	0.54142268058155318	0.95508883309532633
a20bcc86-fe98-42a9-93ad-9027181dad5f	0.00000000000000000	0.06971228967052381	0.47160255420757646	0.14460065841426908	0.31408449770763064	0.00000000000000000	9999.00000000000000000	0.68127169331900328	0.78431923773626822
afd15ee9-ef38-4d14-b1c1-7f4267fe6a04	0.00000000000000000	0.00000000000000000	0.63728660043740526	0.36271339956259468	0.00000000000000000	0.00000000000000000	9999.00000000000000000	0.51235984339789997	0.96774124789707183
f04a6a90-d4d9-4b17-afaa-f97044ff4b6a	0.00000000000000000	0.00000000000000000	0.56251585203168819	0.22872849795246683	0.20875565001584492	0.00000000000000000	9999.00000000000000000	0.56640790985923195	0.91776546499573841
586df577-513d-4d43-ac47-89c52f322d30	0.00000000000000000	0.00000000000000000	0.57414254583958191	0.29312586029742504	0.13273159386299296	0.00000000000000000	9999.00000000000000000	0.54753122205217830	0.93162440421654913
baf9135d-d8dd-4e04-9115-4055b81fae05	0.00000000000000000	0.00000000000000000	0.59426894803607910	0.18312516547340291	0.22260588649051796	0.00000000000000000	9999.00000000000000000	0.56246631728668328	0.93115286566585009
56bc1e6b-d1bf-4df9-b266-07ff567aad77	0.00000000000000000	0.00000000000000000	0.59569004256142488	0.16255697597683572	0.24175298146173937	0.00000000000000000	9999.00000000000000000	0.57392319347933030	0.92162321969210992
1d6fed92-2d3c-46b6-8760-31bc1254cf65	0.00000000000000000	0.00000000000000000	0.50754701016558446	0.23695275542930952	0.25550023440510605	0.00000000000000000	9999.00000000000000000	0.62568239856296803	0.84659335518812184
9053485e-19f7-4d2b-b4b6-361d908cc708	0.00000000000000000	0.00000000000000000	0.49675613268406887	0.26858062770327779	0.23466323961265348	0.00000000000000000	9999.00000000000000000	0.51980878774340544	0.95379174584288751
752ec80f-0c1d-4c66-9927-a32f2f9dfb2a	0.00000000000000000	0.00000000000000000	0.55978903951363335	0.23835714840824107	0.20185381207812558	0.00000000000000000	9999.00000000000000000	0.55518319435417229	0.92812946437333343
1e473e62-d679-45be-890c-77c52a3e7d47	0.00000000000000000	0.00000000000000000	0.64889326209029297	0.25191348294575172	0.09919325496395544	0.00000000000000000	9999.00000000000000000	0.44994081072127345	1.04262446066023906
ecdac97e-eec5-4753-a572-8aff707178e5	0.00000000000000000	0.00000000000000000	0.65229989144133527	0.20412711548411769	0.14357299307454727	0.00000000000000000	9999.00000000000000000	0.52556408525475218	0.97474583731889120
6d1979a2-956e-42d3-a192-01d872e36d22	0.00000000000000000	0.00000000000000000	0.52583612716605821	0.31041503455975716	0.16374883827418471	0.00000000000000000	9999.00000000000000000	0.53825550543082468	0.93387550548001341
5b51c204-3342-46d9-86a4-2ed091492318	0.00000000000000000	0.04207279058685177	0.52354464919170629	0.12333608040667231	0.31104647981476952	0.00000000000000000	9999.00000000000000000	0.69758919999267388	0.77191627430347687
d9666e09-51bb-49a4-b289-0e6b69636858	0.00000000000000000	0.00000000000000000	0.57238308351500089	0.27851274042576640	0.14910417605923268	0.00000000000000000	9999.00000000000000000	0.58771398917988049	0.89069562748147102
ede34eaa-699a-496a-a3d3-8ef57ddbdb43	0.00000000000000000	0.00000000000000000	0.51663841765824847	0.26361556206738812	0.21974602027436346	0.00000000000000000	9999.00000000000000000	0.50920696328992610	0.96691391840567997
ce098c6d-1b12-48df-bbbb-4f1ea8788942	0.00000000000000000	0.03796441078941509	0.51462166902676032	0.40937909596251965	0.03803482422130484	0.00000000000000000	9999.00000000000000000	0.50789304435792471	0.95127725714325728
360280b4-a4eb-40f0-ac1a-35d6858f4aeb	0.00000000000000000	0.00000000000000000	0.63321557378901094	0.28362718969989881	0.08315723651109018	0.00000000000000000	9999.00000000000000000	0.57064081019120305	0.91568418628882697
1d9d65b8-5af4-40e6-a01f-236f45cfecb4	0.00000000000000000	0.00000000000000000	0.59973406610280178	0.09594387469206676	0.30432205920513156	0.00000000000000000	9999.00000000000000000	0.52961573786777472	0.97811151720360212
83f93d3f-d038-4773-a671-0f218f53821c	0.00000000000000000	0.00000000000000000	0.56556126327094014	0.30677375837228044	0.12766497835677953	0.00000000000000000	9999.00000000000000000	0.47418476667242304	1.00148052091753104
b1d64529-4f34-4644-b0e7-20606827ccd4	0.00000000000000000	0.00000000000000000	0.54896554987358215	0.16350179998751399	0.28753265013890378	0.00000000000000000	9999.00000000000000000	0.50031811001099269	0.99197265244084143
b6a8beee-f393-4d3b-943e-1c44fad65526	0.00000000000000000	0.00000000000000000	0.59515828756865374	0.20714302683532959	0.19769868559601664	0.00000000000000000	9999.00000000000000000	0.48180595306270052	1.01022332770141632
