Mixture,B_cells_Memory,B_cells_Naive,CAFs,Cancer_Epithelial,DCs,Endothelial,Macrophage,Monocyte,Myeloid_Cycling,NKT_cells,NK_cells,Normal_Epithelial,PVL,Plasmablasts,T_cells_CD4+,T_cells_CD8+,T_cells_Cycling,P-value,Correlation,RMSE,Absolute score (sig.score)
05e15869-61fd-420f-b0e4-a2faaa814aca,0.107536628658001,0,2.13245406062359,0.79061600263539,0.00167835335644096,0.568421791315251,0.230227404238827,0,0.822876485874843,0.00914138429734505,0.0131540616591074,0.711079228032749,0,0.5351662664237,0.0763479466441165,0,0.00263192442106383,0,0.798053606006968,0.672499623966755,6.00133153818042
1100a85c-823d-417b-a764-9282ec8593a5,0.205464546621661,0,1.00370507641647,0.84086852835664,0,0.26299910178856,0.0631084327337991,0.0397502304847468,0.331936338575458,0,0.0293627064297895,0.575114320350112,0,0.153700725251885,0.0295907852770935,0,0.0519775727052999,0,0.717784304434537,0.74215587279905,3.58757836499152
774f5688-bad0-4a78-b26a-7aceb353e603,0.183483794730858,0,0.759630809132811,0.570190492431113,0.102038155882529,0.280551708439853,0.0627803959986229,0,1.38040491947514,0.0782420987980629,0,0.196402227127098,0,0.0575927567911472,0.0815173902354321,0,0.0489339396650408,0,0.485219700593487,0.87426460123717,3.80176868870771
a95ecb1b-9dd9-4916-9b73-b967278f3d85,0.145313791734212,0,2.43157226492047,0.72832801949883,0.0638968043345319,0.144670969572836,0.150612162067752,0,0.377348156751357,0.0356875160904967,0,0.877471848437342,0,0.141625306244395,0.122981316315824,0,0,0,0.840955577483483,0.631627326453037,5.21950815596805
f8efdeb0-a8f8-4e2d-a52e-43d033e4ce6f,0.117793779961362,0,1.32568803225062,0.933387149919683,0.0280641395155741,0.136453751469487,0.0717351230917803,0,0.58132975063022,0.00532188384187402,0.0166245887385127,0.524659724978417,0,0.284798227645854,0.0152098471894067,0,0.129989458414598,0,0.726470405806891,0.73065727898218,4.17105545764739
698e64da-61aa-4d7b-9f33-21d627cb4721,0.23426796409389,0,1.88441444334485,1.37740124387166,0.158368489936138,0.285531519145179,0.289288111220915,0,0.519630458186445,0.0371824515285842,0.00188652479958216,0,0,1.15870745193521,0.0902545935795693,0,0.270099462904802,0,0.702897945672275,0.715547092528659,6.30703271454683
039eaafb-c311-45ff-9df7-30c1b0bab00a,0.133049137243511,0,2.42884837435509,0.756528207736373,0.03309566235906,0.0919910050943279,0,0,0.856915315591636,0.00490387531500181,0,0,0,0.0612825915884508,0.0715732680831669,0,0,0,0.746551481775905,0.694769214318681,4.43818743736662
6e8eeaae-cc26-4db8-85f6-5c975b06bf45,0.135313946409819,0,0.499079051797988,1.7735144356267,0.0143238627393853,0.255284084335192,0.0897621446101866,0,0.761944229880911,0,0.0311993951599768,0.0843331871828874,0,0.150680257724453,0.00889213444702497,0,0.21635879808964,0,0.749415280658195,0.716403961297374,4.02068552800416
56cb5294-9156-4930-a3ab-c2607a79b65e,0.176072828541253,0,1.49018240707641,0.701026094275284,0,0.425670910821314,0,0,0.39734657082433,0.000430809600517107,0.0064712584620765,0.762502319499513,0,0.115104737268461,0.0292081167158119,0,0.140446786305633,0,0.694109183513648,0.755395746564234,4.24446283939061
dede0990-1733-4473-bc48-78605f16834c,0.150582016984837,0,1.90023406567798,1.0156584568236,0.051697732924765,0.226969062083006,0.266757014667942,0,0.186328285172406,0.00303923035335906,0.0155277936205423,0.537947568229876,0,0.371438138886112,0.0857173227524153,0,0.0289541931353959,0,0.792442223102487,0.672726961488452,4.84085088131224
e22c6b51-c27e-468f-883c-f71918330eb0,0.224309477590813,0,0.986198362692913,0.755871508396929,0.061593814111121,0.20020263377652,0.214352716304599,0,0.136049756485263,0,0.0352090958687827,0.420456053794717,0,0.260776289106291,0,0,0.181730630397772,0,0.710126215007044,0.742058965184555,3.47675033852572
30285113-d411-475a-a8ed-1fb66be72f28,0.11137735415084,0,1.86687990223509,0.975653242488615,0.0188722670317822,0.0493715269088847,0,0,1.11745285530456,0,0.0146090535547397,0.0538784111958741,0,0.0421387408087731,0.0397411431632461,0.0030567744114673,0,0,0.679718409789575,0.754110984305586,4.29303127125387
b1d64529-4f34-4644-b0e7-20606827ccd4,0.114834045576142,0.00687059697363062,0.185122390236726,0.377270985298103,0.084023116871018,0.132942061832736,0,0,0.194232476373511,0.0359698341437108,0.0160246733655219,0.803067008351495,0,0.0968391376501028,0,0,0.359169122695827,0,0.692639596082731,0.765266653426205,2.40636544936852
4541a5e4-240b-466d-bbc4-3904581490f3,0.0693144821197689,0,0.621024680298117,1.07887826972179,0,0.0764725769481071,0.0539469879285209,0,0.325166519718381,0.000499032875166664,0.00489373044885668,0.703804097429905,0,0.0387184020095724,0.0218808570098568,0,0.0453088887099805,0,0.754004824017449,0.706378340256734,3.03990852521803
a33f7e32-cc76-476b-b35c-b03864b72cbb,0.0640118026702174,0.0102293193389094,0.114705847057514,0.961722420602818,0,0.0304053514870854,0.140063399661896,0,0.577185185777382,0.00230838388467321,0.0150288857489113,0.223389537697689,0,0.0272639130724673,0.026074425386485,0,0.119490263910771,0,0.389682306580821,0.926890461645147,2.31187873629682
7e6ed4fc-b4bf-46c7-9f31-24a0c32c039e,0.0370756279307854,0.0132502281950225,0.39358252542762,0.954012343537694,0,0.0713288310609945,0.345232423567559,0,0.962311135799094,0,0.025102547039293,0,0,0.00382908115685841,0.170028748630409,0,0,0,0.698004789895458,0.744374827339821,2.97575349234533
61325789-0b1e-473d-8b71-5ec13ec1dcb7,0.0729368928806674,0,1.55241295447059,0.758849158383572,0,0.0852244642255824,0,0,1.14845449171443,0.0229847082482525,0.00227817252922197,0,0,0.161558973286059,0.106917784426678,0,0.0668322506174039,0,0.722201005383274,0.732353672308312,3.97844985078246
79f139fe-fecb-4b0e-b668-3407c13748d8,0.206831000499568,0,1.94138911297693,0.922334007255108,0,0.419049177591167,0.142070598991536,0.146806406085771,0.45223953691641,0.0418003276490319,0,0.922362320883852,0,0.47255452547198,0.0809528692143393,0.00980982082367154,0,0,0.74173677165563,0.715804574613703,5.75819970435937
040e40de-4c19-423f-98dc-151e2633d085,0.174785309051765,0,1.76520047829967,0.810358330480563,0,0.120414835633814,0,0,0.764020647120173,0.0216431684892825,0.00604626150877661,0.038324106597405,0.0356492949701632,0.31001881784825,0.0866506009288677,0,0.147308214941994,0,0.76297620931743,0.699056555889171,4.28042006587073
7289e7d5-65af-4d53-a4de-2691991d90d6,0.132387933169924,0,1.52264779097283,0.379302378700304,0,0.18004995181377,0.0385836638905582,0,0.986435170974314,0,0.0238805829892512,0.179780988523783,0,0.303424981545693,0.0982738983633393,0,0,0,0.688231864562534,0.747285695432294,3.84476734094376
defae193-bf7c-417c-b68a-57963eb454ef,0.162296726986365,0,1.75448034707872,1.35128483804225,0,0.492262861474553,0.40124026338925,0,0.233885225546902,0.0796436451116941,0,0.540186232448107,0,0.521565491435342,0.114523041922394,0,0.0263109357324118,0,0.598048132494527,0.808202907010626,5.67767960916799
fd6f4c9b-ee43-4939-8cfa-2e447aedbcf3,0.0922138864709728,0,1.06930936747436,1.23980819535432,0.0659422844836031,0.0864634890168987,0,0,1.08641030374227,0.00906596455382871,0.0263416915532878,0.162595008819898,0,0.409914677172495,0,0,0.164604919329962,0,0.732371553550522,0.721776718187189,4.4126697879719
6e79eeb3-9eae-45f4-92a5-fba71c154c1a,0.0465992186642342,0,0.961530608821309,2.24760926914083,0,0.0158581271074493,0,0,0.875694326272696,0.00239184740553038,0.00494191218109674,0.000457030547304106,0,0.10316415580664,0.00881292615021337,0,0.0146503253574166,0,0.758891795463619,0.694220006730564,4.28170974745472
c456f144-7f26-4f58-b4f0-4d91ddfec18e,0.477880959677551,0,0.908072418284036,1.34848614854295,0.57360822652419,0.462080554179094,1.48265252856138,0,0.0912976922885941,0.136512222244852,0.0467891640824435,0.101917248460078,0.0028657395937819,1.87185864441127,0,0,0.660265980815485,0,0.781212239284061,0.626321721984012,8.16428752766571
fb9c23f2-8694-41ca-a126-a5a131abeac1,0,0.0340926584200976,1.59974021000858,1.3589031443389,0,0.0312460986115861,0,0,0.974151806975001,0,0.0585663944064665,0.173971863246419,0,0.0756896156573304,0.175638824029261,0.0159090344683734,0,0,0.506979147480325,0.862538643306752,4.49790965016201
